,プログラム実行日時,論文更新日時,論文リンク,PDFリンク,元論文タイトル,論文タイトル,元サマリ,サマリ,著者,事前付与ジャンル,ニューラルネットワーク,自然言語処理,マーケティング,画像解析,音声解析,強化学習
0,2017-03-28T14:05:16Z,2017-03-27T16:48:03Z,http://arxiv.org/abs/1703.09179v1,http://arxiv.org/pdf/1703.09179v1,Transfer learning for music classification and regression tasks,transfer learn music classif regress task,"In this paper, we present a transfer learning approach for music classification and regression tasks. We propose to use a pretrained convnet feature, a concatenated feature vector using activations of feature maps of multiple layers in a trained convolutional network. We show that how this convnet feature can serve as a general-purpose music representation. In the experiment, a convnet is trained for music tagging and then transferred for many music-related classification and regression tasks as well as an audio-related classification task. In experiments, the convnet feature outperforms the baseline MFCC feature in all tasks and many reported approaches of aggregating MFCCs and low- and high-level music features.",paper present transfer learn approach music classif regress task propos use pretrain convnet featur concaten featur vector use activ featur map multipl layer train convolut network show convnet featur serv general purpos music represent experi convnet train music tag transfer mani music relat classif regress task well audio relat classif task experi convnet featur outperform baselin mfcc featur task mani report approach aggreg mfccs low high level music featur,"['Keunwoo Choi', 'György Fazekas', 'Mark Sandler', 'Kyunghyun Cho']","['cs.CV', 'cs.AI', 'cs.MM', 'cs.SD']",True,False,False,False,False,False
28,2017-03-28T14:05:24Z,2017-03-21T23:29:47Z,http://arxiv.org/abs/1703.07469v1,http://arxiv.org/pdf/1703.07469v1,RobustFill: Neural Program Learning under Noisy I/O,robustfil neural program learn noisi,"The problem of automatically generating a computer program from some specification has been studied since the early days of AI. Recently, two competing approaches for automatic program learning have received significant attention: (1) neural program synthesis, where a neural network is conditioned on input/output (I/O) examples and learns to generate a program, and (2) neural program induction, where a neural network generates new outputs directly using a latent program representation.   Here, for the first time, we directly compare both approaches on a large-scale, real-world learning task. We additionally contrast to rule-based program synthesis, which uses hand-crafted semantics to guide the program generation. Our neural models use a modified attention RNN to allow encoding of variable-sized sets of I/O pairs. Our best synthesis model achieves 92% accuracy on a real-world test set, compared to the 34% accuracy of the previous best neural synthesis approach. The synthesis model also outperforms a comparable induction model on this task, but we more importantly demonstrate that the strength of each approach is highly dependent on the evaluation metric and end-user application. Finally, we show that we can train our neural models to remain very robust to the type of noise expected in real-world data (e.g., typos), while a highly-engineered rule-based system fails entirely.",problem automat generat comput program specif studi sinc earli day ai recent two compet approach automat program learn receiv signific attent neural program synthesi neural network condit input output exampl learn generat program neural program induct neural network generat new output direct use latent program represent first time direct compar approach larg scale real world learn task addit contrast rule base program synthesi use hand craft semant guid program generat neural model use modifi attent rnn allow encod variabl size set pair best synthesi model achiev accuraci real world test set compar accuraci previous best neural synthesi approach synthesi model also outperform compar induct model task import demonstr strength approach high depend evalu metric end user applic final show train neural model remain veri robust type nois expect real world data typo high engin rule base system fail entir,"['Jacob Devlin', 'Jonathan Uesato', 'Surya Bhupatiraju', 'Rishabh Singh', 'Abdel-rahman Mohamed', 'Pushmeet Kohli']",['cs.AI'],True,False,False,False,False,False
304,2017-03-28T14:05:58Z,2017-03-26T20:02:44Z,http://arxiv.org/abs/1703.08864v1,http://arxiv.org/pdf/1703.08864v1,Learning Simpler Language Models with the Delta Recurrent Neural Network   Framework,learn simpler languag model delta recurr neural network framework,"Learning useful information across long time lags is a critical and difficult problem for temporal neural models in tasks like language modeling. Existing architectures that address the issue are often complex and costly to train. The Delta Recurrent Neural Network (Delta-RNN) framework is a simple and high-performing design that unifies previously proposed gated neural models. The Delta-RNN models maintain longer-term memory by learning to interpolate between a fast-changing data-driven representation and a slowly changing, implicitly stable state. This requires hardly any more parameters than a classical simple recurrent network. The models outperform popular complex architectures, such as the Long Short Term Memory (LSTM) and the Gated Recurrent Unit (GRU) and achieve state-of-the art performance in language modeling at character and word levels and yield comparable performance at the subword level.",learn use inform across long time lag critic difficult problem tempor neural model task like languag model exist architectur address issu often complex cost train delta recurr neural network delta rnn framework simpl high perform design unifi previous propos gate neural model delta rnn model maintain longer term memori learn interpol fast chang data driven represent slowli chang implicit stabl state requir hard ani paramet classic simpl recurr network model outperform popular complex architectur long short term memori lstm gate recurr unit gru achiev state art perform languag model charact word level yield compar perform subword level,"['Alexander G. Ororbia II', 'Tomas Mikolov', 'David Reitter']",['cs.CL'],True,False,False,False,False,False
320,2017-03-28T14:06:07Z,2017-03-23T15:57:23Z,http://arxiv.org/abs/1703.08120v1,http://arxiv.org/pdf/1703.08120v1,Recurrent and Contextual Models for Visual Question Answering,recurr contextu model visual question answer,"We propose a series of recurrent and contextual neural network models for multiple choice visual question answering on the Visual7W dataset. Motivated by divergent trends in model complexities in the literature, we explore the balance between model expressiveness and simplicity by studying incrementally more complex architectures. We start with LSTM-encoding of input questions and answers; build on this with context generation by LSTM-encodings of neural image and question representations and attention over images; and evaluate the diversity and predictive power of our models and the ensemble thereof. All models are evaluated against a simple baseline inspired by the current state-of-the-art, consisting of involving simple concatenation of bag-of-words and CNN representations for the text and images, respectively. Generally, we observe marked variation in image-reasoning performance between our models not obvious from their overall performance, as well as evidence of dataset bias. Our standalone models achieve accuracies up to $64.6\%$, while the ensemble of all models achieves the best accuracy of $66.67\%$, within $0.5\%$ of the current state-of-the-art for Visual7W.",propos seri recurr contextu neural network model multipl choic visual question answer visualw dataset motiv diverg trend model complex literatur explor balanc model express simplic studi increment complex architectur start lstm encod input question answer build context generat lstm encod neural imag question represent attent imag evalu divers predict power model ensembl thereof model evalu simpl baselin inspir current state art consist involv simpl concaten bag word cnn represent text imag respect general observ mark variat imag reason perform model obvious overal perform well evid dataset bias standalon model achiev accuraci ensembl model achiev best accuraci within current state art visualw,"['Abhijit Sharang', 'Eric Lau']","['cs.CL', 'cs.CV']",True,False,False,False,False,False
329,2017-03-28T14:06:07Z,2017-03-22T15:42:28Z,http://arxiv.org/abs/1703.07713v1,http://arxiv.org/pdf/1703.07713v1,Hierarchical RNN with Static Sentence-Level Attention for Text-Based   Speaker Change Detection,hierarch rnn static sentenc level attent text base speaker chang detect,"Traditional speaker change detection in dialogues is typically based on audio input. In some scenarios, however, researchers can only obtain text, and do not have access to raw audio signals. Moreover, with the increasing need of deep semantic processing, text-based dialogue understanding is attracting more attention in the community. These raise the problem of text-based speaker change detection. In this paper, we formulate the task as a matching problem of utterances before and after a certain decision point; we propose a hierarchical recurrent neural network (RNN) with static sentence-level attention. Our model comprises three main components: a sentence encoder with a long short term memory (LSTM)-based RNN, a context encoder with another LSTM-RNN, and a static sentence-level attention mechanism, which allows rich information interaction. Experimental results show that neural networks consistently achieve better performance than feature-based approaches, and that our attention-based model significantly outperforms non-attention neural networks.",tradit speaker chang detect dialogu typic base audio input scenario howev research onli obtain text access raw audio signal moreov increas need deep semant process text base dialogu understand attract attent communiti rais problem text base speaker chang detect paper formul task match problem utter befor certain decis point propos hierarch recurr neural network rnn static sentenc level attent model compris three main compon sentenc encod long short term memori lstm base rnn context encod anoth lstm rnn static sentenc level attent mechan allow rich inform interact experiment result show neural network consist achiev better perform featur base approach attent base model signific outperform non attent neural network,"['Zhao Meng', 'Lili Mou', 'Zhi Jin']",['cs.CL'],True,False,False,False,False,False
330,2017-03-28T14:06:12Z,2017-03-22T10:08:51Z,http://arxiv.org/abs/1703.07588v1,http://arxiv.org/pdf/1703.07588v1,Gate Activation Signal Analysis for Gated Recurrent Neural Networks and   Its Correlation with Phoneme Boundaries,gate activ signal analysi gate recurr neural network correl phonem boundari,"In this paper we analyze the gate activation signals inside the gated recurrent neural networks, and find the temporal structure of such signals is highly correlated with the phoneme boundaries. This correlation is further verified by a set of experiments for phoneme segmentation, in which better results compared to standard approaches were obtained.",paper analyz gate activ signal insid gate recurr neural network find tempor structur signal high correl phonem boundari correl verifi set experi phonem segment better result compar standard approach obtain,"['Yu-Hsuan Wang', 'Cheng-Tao Chung', 'Hung-yi Lee']","['cs.SD', 'cs.CL', 'cs.LG']",True,False,False,False,False,False
367,2017-03-28T14:06:24Z,2017-03-25T16:17:03Z,http://arxiv.org/abs/1703.04617v2,http://arxiv.org/pdf/1703.04617v2,Exploring Question Understanding and Adaptation in Neural-Network-Based   Question Answering,explor question understand adapt neural network base question answer,"The last several years have seen intensive interest in exploring neural-network-based models for machine comprehension (MC) and question answering (QA). In this paper, we approach the problems by closely modelling questions in a neural network framework. We first introduce syntactic information to help encode questions. We then view and model different types of questions and the information shared among them as an adaptation task and proposed adaptation models for them. On the Stanford Question Answering Dataset (SQuAD), we show that these approaches can help attain better results over a competitive baseline.",last sever year seen intens interest explor neural network base model machin comprehens mc question answer qa paper approach problem close model question neural network framework first introduc syntact inform help encod question view model differ type question inform share among adapt task propos adapt model stanford question answer dataset squad show approach help attain better result competit baselin,"['Junbei Zhang', 'Xiaodan Zhu', 'Qian Chen', 'Lirong Dai', 'Si Wei', 'Hui Jiang']",['cs.CL'],True,False,False,False,False,False
382,2017-03-28T14:06:31Z,2017-03-11T10:05:19Z,http://arxiv.org/abs/1703.03939v1,http://arxiv.org/pdf/1703.03939v1,Ask Me Even More: Dynamic Memory Tensor Networks (Extended Model),ask even dynam memori tensor network extend model,"We examine Memory Networks for the task of question answering (QA), under common real world scenario where training examples are scarce and under weakly supervised scenario, that is only extrinsic labels are available for training. We propose extensions for the Dynamic Memory Network (DMN), specifically within the attention mechanism, we call the resulting Neural Architecture as Dynamic Memory Tensor Network (DMTN). Ultimately, we see that our proposed extensions results in over 80% improvement in the number of task passed against the baselined standard DMN and 20% more task passed compared to state-of-the-art End-to-End Memory Network for Facebook's single task weakly trained 1K bAbi dataset.",examin memori network task question answer qa common real world scenario train exampl scarc weak supervis scenario onli extrins label avail train propos extens dynam memori network dmn specif within attent mechan call result neural architectur dynam memori tensor network dmtn ultim see propos extens result improv number task pass baselin standard dmn task pass compar state art end end memori network facebook singl task weak train babi dataset,"['Govardana Sachithanandam Ramachandran', 'Ajay Sohmshetty']","['cs.CL', 'cs.LG', 'cs.NE']",True,False,False,False,False,False
404,2017-03-28T14:08:43Z,2017-03-27T16:48:03Z,http://arxiv.org/abs/1703.09179v1,http://arxiv.org/pdf/1703.09179v1,Transfer learning for music classification and regression tasks,transfer learn music classif regress task,"In this paper, we present a transfer learning approach for music classification and regression tasks. We propose to use a pretrained convnet feature, a concatenated feature vector using activations of feature maps of multiple layers in a trained convolutional network. We show that how this convnet feature can serve as a general-purpose music representation. In the experiment, a convnet is trained for music tagging and then transferred for many music-related classification and regression tasks as well as an audio-related classification task. In experiments, the convnet feature outperforms the baseline MFCC feature in all tasks and many reported approaches of aggregating MFCCs and low- and high-level music features.",paper present transfer learn approach music classif regress task propos use pretrain convnet featur concaten featur vector use activ featur map multipl layer train convolut network show convnet featur serv general purpos music represent experi convnet train music tag transfer mani music relat classif regress task well audio relat classif task experi convnet featur outperform baselin mfcc featur task mani report approach aggreg mfccs low high level music featur,"['Keunwoo Choi', 'György Fazekas', 'Mark Sandler', 'Kyunghyun Cho']","['cs.CV', 'cs.AI', 'cs.MM', 'cs.SD']",True,False,False,False,False,False
433,2017-03-28T14:08:56Z,2017-03-25T06:18:38Z,http://arxiv.org/abs/1703.08653v1,http://arxiv.org/pdf/1703.08653v1,Bayesian Optimization for Refining Object Proposals,bayesian optim refin object propos,"We develop a general-purpose algorithm using a Bayesian optimization framework for the efficient refinement of object proposals. While recent research has achieved substantial progress for object localization and related objectives in computer vision, current state-of-the-art object localization procedures are nevertheless encumbered by inefficiency and inaccuracy. We present a novel, computationally efficient method for refining inaccurate bounding-box proposals for a target object using Bayesian optimization. Offline, image features from a convolutional neural network are used to train a model to predict the offset distance of an object proposal from a target object. Online, this model is used in a Bayesian active search to improve inaccurate object proposals. In experiments, we compare our approach to a state-of-the-art bounding-box regression method for localization refinement of pedestrian object proposals. Our method exhibits a substantial improvement for the task of localization refinement over this baseline regression method.",develop general purpos algorithm use bayesian optim framework effici refin object propos recent research achiev substanti progress object local relat object comput vision current state art object local procedur nevertheless encumb ineffici inaccuraci present novel comput effici method refin inaccur bound box propos target object use bayesian optim offlin imag featur convolut neural network use train model predict offset distanc object propos target object onlin model use bayesian activ search improv inaccur object propos experi compar approach state art bound box regress method local refin pedestrian object propos method exhibit substanti improv task local refin baselin regress method,"['Anthony D. Rhodes', 'Jordan Witte', 'Melanie Mitchell', 'Bruno Jedynak']",['cs.CV'],True,False,False,True,False,False
