,プログラム実行日時,論文更新日時,論文リンク,PDFリンク,元論文タイトル,論文タイトル,元サマリ,サマリ,著者,事前付与ジャンル,ニューラルネットワーク,自然言語処理,マーケティング,画像解析,音声解析,強化学習
2,2017-03-28T14:05:16Z,2017-03-27T04:03:56Z,http://arxiv.org/abs/1703.08922v1,http://arxiv.org/pdf/1703.08922v1,On Automating the Doctrine of Double Effect,autom doctrin doubl effect,"The doctrine of double effect ($\mathcal{DDE}$) is a long-studied ethical principle that governs when actions that have both positive and negative effects are to be allowed. The goal in this paper is to automate $\mathcal{DDE}$. We briefly present $\mathcal{DDE}$, and use a first-order modal logic, the deontic cognitive event calculus, as our framework to formalize the doctrine. We present formalizations of increasingly stronger versions of the principle, including what is known as the doctrine of triple effect. We then use our framework to simulate successfully scenarios that have been used to test for the presence of the principle in human subjects. Our framework can be used in two different modes: One can use it to build $\mathcal{DDE}$-compliant autonomous systems from scratch, or one can use it to verify that a given AI system is $\mathcal{DDE}$-compliant, by applying a $\mathcal{DDE}$ layer on an existing system or model. For the latter mode, the underlying AI system can be built using any architecture (planners, deep neural networks, bayesian networks, knowledge-representation systems, or a hybrid); as long as the system exposes a few parameters in its model, such verification is possible. The role of the $\mathcal{DDE}$ layer here is akin to a (dynamic or static) software verifier that examines existing software modules. Finally, we end by presenting initial work on how one can apply our $\mathcal{DDE}$ layer to the STRIPS-style planning model, and to a modified POMDP model.",doctrin doubl effect mathcal dde long studi ethic principl govern action posit negat effect allow goal paper autom mathcal dde briefli present mathcal dde use first order modal logic deontic cognit event calculus framework formal doctrin present formal increas stronger version principl includ known doctrin tripl effect use framework simul success scenario use test presenc principl human subject framework use two differ mode one use build mathcal dde compliant autonom system scratch one use verifi given ai system mathcal dde compliant appli mathcal dde layer exist system model latter mode ai system built use ani architectur planner deep neural network bayesian network knowledg represent system hybrid long system expos paramet model verif possibl role mathcal dde layer akin dynam static softwar verifi examin exist softwar modul final end present initi work one appli mathcal dde layer strip style plan model modifi pomdp model,"['Naveen Sundar Govindarajulu', 'Selmer Bringsjord']","['cs.AI', 'cs.LO', 'cs.RO']",False,False,True,False,False,True
5,2017-03-28T14:05:16Z,2017-03-26T15:26:34Z,http://arxiv.org/abs/1703.08825v1,http://arxiv.org/pdf/1703.08825v1,Surrogate Model of Multi-Period Flexibility from a Home Energy   Management System,surrog model multi period flexibl home energi manag system,"Near-future electric distribution grids operation will have to rely on demand-side flexibility, both by implementation of demand response strategies and by taking advantage of the intelligent management of increasingly common small-scale energy storage. Home energy management systems (HEMS) will play a crucial role on the flexibility provision to both system operators and market players like aggregators. Modeling multi-period flexibility from residential consumers (HEMS flexibility), such as battery storage and electric water heater, while complying with internal constraints (comfort levels, data privacy) and uncertainty is a complex task. This paper describes a computational method that is capable of efficiently define and learn the feasible flexibility set from controllable resources connected to a HEMS. An Evolutionary Particle Swarm Optimization (EPSO) algorithm is adopted and reshaped to derive a set of feasible temporal trajectories for the residential net-load, considering storage, flexible appliances, and predefined costumer preferences, as well as load and photovoltaic (PV) forecast uncertainty. A support vector data description (SVDD) algorithm is used to build models capable of classifying feasible and unfeasible HEMS operating trajectories upon request from an optimization/control algorithm operated by a DSO or market player.",near futur electr distribut grid oper reli demand side flexibl implement demand respons strategi take advantag intellig manag increas common small scale energi storag home energi manag system hem play crucial role flexibl provis system oper market player like aggreg model multi period flexibl residenti consum hem flexibl batteri storag electr water heater compli intern constraint comfort level data privaci uncertainti complex task paper describ comput method capabl effici defin learn feasibl flexibl set control resourc connect hem evolutionari particl swarm optim epso algorithm adopt reshap deriv set feasibl tempor trajectori residenti net load consid storag flexibl applianc predefin costum prefer well load photovolta pv forecast uncertainti support vector data descript svdd algorithm use build model capabl classifi feasibl unfeas hem oper trajectori upon request optim control algorithm oper dso market player,"['Rui Pinto', 'Ricardo Bessa', 'Manuel Matos']","['cs.NE', 'cs.AI']",False,False,True,False,False,False
7,2017-03-28T14:05:16Z,2017-03-26T03:47:54Z,http://arxiv.org/abs/1703.08762v1,http://arxiv.org/pdf/1703.08762v1,Team Formation for Scheduling Educational Material in Massive Online   Classes,team format schedul educ materi massiv onlin class,"Whether teaching in a classroom or a Massive Online Open Course it is crucial to present the material in a way that benefits the audience as a whole. We identify two important tasks to solve towards this objective, 1 group students so that they can maximally benefit from peer interaction and 2 find an optimal schedule of the educational material for each group. Thus, in this paper, we solve the problem of team formation and content scheduling for education. Given a time frame d, a set of students S with their required need to learn different activities T and given k as the number of desired groups, we study the problem of finding k group of students. The goal is to teach students within time frame d such that their potential for learning is maximized and find the best schedule for each group. We show this problem to be NP-hard and develop a polynomial algorithm for it. We show our algorithm to be effective both on synthetic as well as a real data set. For our experiments, we use real data on students' grades in a Computer Science department. As part of our contribution, we release a semi-synthetic dataset that mimics the properties of the real data.",whether teach classroom massiv onlin open cours crucial present materi way benefit audienc whole identifi two import task solv toward object group student maxim benefit peer interact find optim schedul educ materi group thus paper solv problem team format content schedul educ given time frame set student requir need learn differ activ given number desir group studi problem find group student goal teach student within time frame potenti learn maxim find best schedul group show problem np hard develop polynomi algorithm show algorithm effect synthet well real data set experi use real data student grade comput scienc depart part contribut releas semi synthet dataset mimic properti real data,"['Sanaz Bahargam', 'Dóra Erdos', 'Azer Bestavros', 'Evimaria Terzi']",['cs.AI'],False,False,True,False,False,True
10,2017-03-28T14:05:20Z,2017-03-24T14:40:31Z,http://arxiv.org/abs/1703.08428v1,http://arxiv.org/abs/1703.08428v1,Calendar.help: Designing a Workflow-Based Scheduling Agent with Humans   in the Loop,calendar help design workflow base schedul agent human loop,"Although information workers may complain about meetings, they are an essential part of their work life. Consequently, busy people spend a significant amount of time scheduling meetings. We present Calendar.help, a system that provides fast, efficient scheduling through structured workflows. Users interact with the system via email, delegating their scheduling needs to the system as if it were a human personal assistant. Common scheduling scenarios are broken down using well-defined workflows and completed as a series of microtasks that are automated when possible and executed by a human otherwise. Unusual scenarios fall back to a trained human assistant who executes them as unstructured macrotasks. We describe the iterative approach we used to develop Calendar.help, and share the lessons learned from scheduling thousands of meetings during a year of real-world deployments. Our findings provide insight into how complex information tasks can be broken down into repeatable components that can be executed efficiently to improve productivity.",although inform worker may complain meet essenti part work life consequ busi peopl spend signific amount time schedul meet present calendar help system provid fast effici schedul structur workflow user interact system via email deleg schedul need system human person assist common schedul scenario broken use well defin workflow complet seri microtask autom possibl execut human otherwis unusu scenario fall back train human assist execut unstructur macrotask describ iter approach use develop calendar help share lesson learn schedul thousand meet dure year real world deploy find provid insight complex inform task broken repeat compon execut effici improv product,"['Justin Cranshaw', 'Emad Elwany', 'Todd Newman', 'Rafal Kocielnik', 'Bowen Yu', 'Sandeep Soni', 'Jaime Teevan', 'Andrés Monroy-Hernández']","['cs.HC', 'cs.AI', 'cs.CL']",False,False,True,False,False,False
20,2017-03-28T14:05:24Z,2017-03-23T04:26:46Z,http://arxiv.org/abs/1703.07929v1,http://arxiv.org/pdf/1703.07929v1,Diversification-Based Learning in Computing and Optimization,diversif base learn comput optim,"Diversification-Based Learning (DBL) derives from a collection of principles and methods introduced in the field of metaheuristics that have broad applications in computing and optimization. We show that the DBL framework goes significantly beyond that of the more recent Opposition-based learning (OBL) framework introduced in Tizhoosh (2005), which has become the focus of numerous research initiatives in machine learning and metaheuristic optimization. We unify and extend earlier proposals in metaheuristic search (Glover, 1997, Glover and Laguna, 1997) to give a collection of approaches that are more flexible and comprehensive than OBL for creating intensification and diversification strategies in metaheuristic search. We also describe potential applications of DBL to various subfields of machine learning and optimization.",diversif base learn dbl deriv collect principl method introduc field metaheurist broad applic comput optim show dbl framework goe signific beyond recent opposit base learn obl framework introduc tizhoosh becom focus numer research initi machin learn metaheurist optim unifi extend earlier propos metaheurist search glover glover laguna give collect approach flexibl comprehens obl creat intensif diversif strategi metaheurist search also describ potenti applic dbl various subfield machin learn optim,"['Fred Glover', 'Jin-Kao Hao']",['cs.AI'],False,False,True,False,False,True
25,2017-03-28T14:05:24Z,2017-03-24T01:00:03Z,http://arxiv.org/abs/1703.07726v3,http://arxiv.org/pdf/1703.07726v3,\$1 Today or \$2 Tomorrow? The Answer is in Your Facebook Likes,today tomorrow answer facebook like,"In economics and psychology, delay discounting is often used to characterize how individuals choose between a smaller immediate reward and a larger delayed reward. People with higher delay discounting rate (DDR) often choose smaller but more immediate rewards (a ""today person""). In contrast, people with a lower discounting rate often choose a larger future rewards (a ""tomorrow person""). Since the ability to modulate the desire of immediate gratification for long term rewards plays an important role in our decision-making, the lower discounting rate often predicts better social, academic and health outcomes. In contrast, the higher discounting rate is often associated with problematic behaviors such as alcohol/drug abuse, pathological gambling and credit card default. Thus, research on understanding and moderating delay discounting has the potential to produce substantial societal benefits.",econom psycholog delay discount often use character individu choos smaller immedi reward larger delay reward peopl higher delay discount rate ddr often choos smaller immedi reward today person contrast peopl lower discount rate often choos larger futur reward tomorrow person sinc abil modul desir immedi gratif long term reward play import role decis make lower discount rate often predict better social academ health outcom contrast higher discount rate often associ problemat behavior alcohol drug abus patholog gambl credit card default thus research understand moder delay discount potenti produc substanti societ benefit,"['Tao Ding', 'Warren K. Bickel', 'Shimei Pan']","['cs.AI', 'cs.CY', 'cs.SI']",False,False,True,False,False,False
31,2017-03-28T14:05:28Z,2017-03-21T18:29:05Z,http://arxiv.org/abs/1703.07381v1,http://arxiv.org/pdf/1703.07381v1,Improving Statistical Multimedia Information Retrieval Model by using   Ontology,improv statist multimedia inform retriev model use ontolog,"A typical IR system that delivers and stores information is affected by problem of matching between user query and available content on web. Use of Ontology represents the extracted terms in form of network graph consisting of nodes, edges, index terms etc. The above mentioned IR approaches provide relevance thus satisfying users query. The paper also emphasis on analyzing multimedia documents and performs calculation for extracted terms using different statistical formulas. The proposed model developed reduces semantic gap and satisfies user needs efficiently.",typic ir system deliv store inform affect problem match user queri avail content web use ontolog repres extract term form network graph consist node edg index term etc abov mention ir approach provid relev thus satisfi user queri paper also emphasi analyz multimedia document perform calcul extract term use differ statist formula propos model develop reduc semant gap satisfi user need effici,"['Gagandeep Singh Narula', 'Vishal Jain']","['cs.IR', 'cs.AI']",False,False,True,False,False,False
43,2017-03-28T14:05:32Z,2017-03-20T04:47:14Z,http://arxiv.org/abs/1703.06597v1,http://arxiv.org/pdf/1703.06597v1,Artificial Intelligence and Economic Theories,artifici intellig econom theori,"The advent of artificial intelligence has changed many disciplines such as engineering, social science and economics. Artificial intelligence is a computational technique which is inspired by natural intelligence such as the swarming of birds, the working of the brain and the pathfinding of the ants. These techniques have impact on economic theories. This book studies the impact of artificial intelligence on economic theories, a subject that has not been extensively studied. The theories that are considered are: demand and supply, asymmetrical information, pricing, rational choice, rational expectation, game theory, efficient market hypotheses, mechanism design, prospect, bounded rationality, portfolio theory, rational counterfactual and causality. The benefit of this book is that it evaluates existing theories of economics and update them based on the developments in artificial intelligence field.",advent artifici intellig chang mani disciplin engin social scienc econom artifici intellig comput techniqu inspir natur intellig swarm bird work brain pathfind ant techniqu impact econom theori book studi impact artifici intellig econom theori subject extens studi theori consid demand suppli asymmetr inform price ration choic ration expect game theori effici market hypothes mechan design prospect bound ration portfolio theori ration counterfactu causal benefit book evalu exist theori econom updat base develop artifici intellig field,"['Tshilidzi Marwala', 'Evan Hurwitz']",['cs.AI'],False,False,True,False,False,False
45,2017-03-28T14:05:32Z,2017-03-20T02:29:53Z,http://arxiv.org/abs/1703.06565v1,http://arxiv.org/pdf/1703.06565v1,Evidence Updating for Stream-Processing in Big-Data: Robust Conditioning   in Soft and Hard Fusion Environments,evid updat stream process big data robust condit soft hard fusion environ,"Conditioning is the primary method for belief revision in data fusion systems employing probabilistic inferencing. However, big-data environments, where soft (i.e., human or human-based) sources are commonly utilized in addition to hard (i.e., physics-based sensors, pose several challenges to traditional conditioning tasks primarily due to the numerous data/source imperfections that are characteristic of such data. The objective of this paper is to investigate the most natural extension of Bayes conditioning based evidence updates in the presence of such large-scale data uncertainties and source/sensor imperfections. By viewing the evidence updating process as a thought experiment, we devise an elegant strategy for robust evidence updating in the presence of extreme uncertainties characteristic of big-data environments. In particular, we look at the formulation of a belief theoretic evidence updating mechanism that is derived as a natural extension of Bayes conditional approach when the incoming evidence takes the form of a general belief function. Proposed method generalizes the belief theoretic Fagin-Halpern conditional notion, and provides a novel evidence updating strategy that is derived as a natural extension of Bayes conditional applied in a highly uncertain and complex fusion scenario that is characteristic of big-data environments. The presented extension differs fundamentally from the previously published work on Conditional Update Equation (CUE) as well as authors own work. An overview of this development is provided via illustrative examples. Furthermore, insights into parameter selection under various fusion contexts are also provided.",condit primari method belief revis data fusion system employ probabilist inferenc howev big data environ soft human human base sourc common util addit hard physic base sensor pose sever challeng tradit condit task primarili due numer data sourc imperfect characterist data object paper investig natur extens bay condit base evid updat presenc larg scale data uncertainti sourc sensor imperfect view evid updat process thought experi devis eleg strategi robust evid updat presenc extrem uncertainti characterist big data environ particular look formul belief theoret evid updat mechan deriv natur extens bay condit approach incom evid take form general belief function propos method general belief theoret fagin halpern condit notion provid novel evid updat strategi deriv natur extens bay condit appli high uncertain complex fusion scenario characterist big data environ present extens differ fundament previous publish work condit updat equat cue well author work overview develop provid via illustr exampl furthermor insight paramet select various fusion context also provid,['Thanuka Wickramarathne'],['cs.AI'],False,False,True,False,False,False
48,2017-03-28T14:05:32Z,2017-03-18T21:25:29Z,http://arxiv.org/abs/1703.06354v1,http://arxiv.org/pdf/1703.06354v1,Goal Conflict in Designing an Autonomous Artificial System,goal conflict design autonom artifici system,"Research on human self-regulation has shown that people hold many goals simultaneously and have complex self-regulation mechanisms to deal with this goal conflict. Artificial autonomous systems may also need to find ways to cope with conflicting goals. Indeed, the intricate interplay among different goals may be critical to the design as well as long-term safety and stability of artificial autonomous systems. I discuss some of the critical features of the human self-regulation system and how it might be applied to an artificial system. Furthermore, the implications of goal conflict for the reliability and stability of artificial autonomous systems and ensuring their alignment with human goals and ethics is examined.",research human self regul shown peopl hold mani goal simultan complex self regul mechan deal goal conflict artifici autonom system may also need find way cope conflict goal inde intric interplay among differ goal may critic design well long term safeti stabil artifici autonom system discuss critic featur human self regul system might appli artifici system furthermor implic goal conflict reliabl stabil artifici autonom system ensur align human goal ethic examin,['Mark Muraven'],['cs.AI'],False,False,True,False,False,True
