,プログラム実行日時,論文更新日時,論文リンク,PDFリンク,元論文タイトル,論文タイトル,元サマリ,サマリ,著者,事前付与ジャンル,ニューラルネットワーク,自然言語処理,マーケティング,画像解析,音声解析,強化学習
1,2017-03-28T14:05:16Z,2017-03-27T06:19:38Z,http://arxiv.org/abs/1703.08944v1,http://arxiv.org/abs/1703.08944v1,Intelligent bidirectional rapidly-exploring random trees for optimal   motion planning in complex cluttered environments,intellig bidirect rapid explor random tree optim motion plan complex clutter environ,"The sampling based motion planning algorithm known as Rapidly-exploring Random Trees (RRT) has gained the attention of many researchers due to their computational efficiency and effectiveness. Recently, a variant of RRT called RRT* has been proposed that ensures asymptotic optimality. Subsequently its bidirectional version has also been introduced in the literature known as Bidirectional-RRT* (B-RRT*). We introduce a new variant called Intelligent Bidirectional-RRT* (IB-RRT*) which is an improved variant of the optimal RRT* and bidirectional version of RRT* (B-RRT*) algorithms and is specially designed for complex cluttered environments. IB-RRT* utilizes the bidirectional trees approach and introduces intelligent sample insertion heuristic for fast convergence to the optimal path solution using uniform sampling heuristics. The proposed algorithm is evaluated theoretically and experimental results are presented that compares IB-RRT* with RRT* and B-RRT*. Moreover, experimental results demonstrate the superior efficiency of IB-RRT* in comparison with RRT* and B-RRT in complex cluttered environments.",sampl base motion plan algorithm known rapid explor random tree rrt gain attent mani research due comput effici effect recent variant rrt call rrt propos ensur asymptot optim subsequ bidirect version also introduc literatur known bidirect rrt rrt introduc new variant call intellig bidirect rrt ib rrt improv variant optim rrt bidirect version rrt rrt algorithm special design complex clutter environ ib rrt util bidirect tree approach introduc intellig sampl insert heurist fast converg optim path solut use uniform sampl heurist propos algorithm evalu theoret experiment result present compar ib rrt rrt rrt moreov experiment result demonstr superior effici ib rrt comparison rrt rrt complex clutter environ,"['Ahmed Hussain Qureshi', 'Yasar Ayaz']","['cs.RO', 'cs.AI']",False,False,False,False,False,True
2,2017-03-28T14:05:16Z,2017-03-27T04:03:56Z,http://arxiv.org/abs/1703.08922v1,http://arxiv.org/pdf/1703.08922v1,On Automating the Doctrine of Double Effect,autom doctrin doubl effect,"The doctrine of double effect ($\mathcal{DDE}$) is a long-studied ethical principle that governs when actions that have both positive and negative effects are to be allowed. The goal in this paper is to automate $\mathcal{DDE}$. We briefly present $\mathcal{DDE}$, and use a first-order modal logic, the deontic cognitive event calculus, as our framework to formalize the doctrine. We present formalizations of increasingly stronger versions of the principle, including what is known as the doctrine of triple effect. We then use our framework to simulate successfully scenarios that have been used to test for the presence of the principle in human subjects. Our framework can be used in two different modes: One can use it to build $\mathcal{DDE}$-compliant autonomous systems from scratch, or one can use it to verify that a given AI system is $\mathcal{DDE}$-compliant, by applying a $\mathcal{DDE}$ layer on an existing system or model. For the latter mode, the underlying AI system can be built using any architecture (planners, deep neural networks, bayesian networks, knowledge-representation systems, or a hybrid); as long as the system exposes a few parameters in its model, such verification is possible. The role of the $\mathcal{DDE}$ layer here is akin to a (dynamic or static) software verifier that examines existing software modules. Finally, we end by presenting initial work on how one can apply our $\mathcal{DDE}$ layer to the STRIPS-style planning model, and to a modified POMDP model.",doctrin doubl effect mathcal dde long studi ethic principl govern action posit negat effect allow goal paper autom mathcal dde briefli present mathcal dde use first order modal logic deontic cognit event calculus framework formal doctrin present formal increas stronger version principl includ known doctrin tripl effect use framework simul success scenario use test presenc principl human subject framework use two differ mode one use build mathcal dde compliant autonom system scratch one use verifi given ai system mathcal dde compliant appli mathcal dde layer exist system model latter mode ai system built use ani architectur planner deep neural network bayesian network knowledg represent system hybrid long system expos paramet model verif possibl role mathcal dde layer akin dynam static softwar verifi examin exist softwar modul final end present initi work one appli mathcal dde layer strip style plan model modifi pomdp model,"['Naveen Sundar Govindarajulu', 'Selmer Bringsjord']","['cs.AI', 'cs.LO', 'cs.RO']",False,False,True,False,False,True
3,2017-03-28T14:05:16Z,2017-03-26T19:39:50Z,http://arxiv.org/abs/1703.08862v1,http://arxiv.org/pdf/1703.08862v1,Socially Aware Motion Planning with Deep Reinforcement Learning,social awar motion plan deep reinforc learn,"For robotic vehicles to navigate safely and efficiently in pedestrian-rich environments, it is important to model subtle human behaviors and navigation rules. However, while instinctive to humans, socially compliant navigation is still difficult to quantify due to the stochasticity in people's behaviors. Existing works are mostly focused on using feature-matching techniques to describe and imitate human paths, but often do not generalize well since the feature values can vary from person to person, and even run to run. This work notes that while it is challenging to directly specify the details of what to do (precise mechanisms of human navigation), it is straightforward to specify what not to do (violations of social norms). Specifically, using deep reinforcement learning, this work develops a time-efficient navigation policy that respects common social norms. The proposed method is shown to enable fully autonomous navigation of a robotic vehicle moving at human walking speed in an environment with many pedestrians.",robot vehicl navig safe effici pedestrian rich environ import model subtl human behavior navig rule howev instinct human social compliant navig still difficult quantifi due stochast peopl behavior exist work focus use featur match techniqu describ imit human path often general well sinc featur valu vari person person even run run work note challeng direct specifi detail precis mechan human navig straightforward specifi violat social norm specif use deep reinforc learn work develop time effici navig polici respect common social norm propos method shown enabl fulli autonom navig robot vehicl move human walk speed environ mani pedestrian,"['Yu Fan Chen', 'Michael Everett', 'Miao Liu', 'Jonathan P. How']","['cs.RO', 'cs.AI', 'cs.HC']",False,False,False,False,False,True
4,2017-03-28T14:05:16Z,2017-03-26T16:20:36Z,http://arxiv.org/abs/1703.08840v1,http://arxiv.org/pdf/1703.08840v1,Inferring The Latent Structure of Human Decision-Making from Raw Visual   Inputs,infer latent structur human decis make raw visual input,"The goal of imitation learning is to match example expert behavior, without access to a reinforcement signal. Expert demonstrations provided by humans, however, often show significant variability due to latent factors that are not explicitly modeled. We introduce an extension to the Generative Adversarial Imitation Learning method that can infer the latent structure of human decision-making in an unsupervised way. Our method can not only imitate complex behaviors, but also learn interpretable and meaningful representations. We demonstrate that the approach is applicable to high-dimensional environments including raw visual inputs. In the highway driving domain, we show that a model learned from demonstrations is able to both produce different styles of human-like driving behaviors and accurately anticipate human actions. Our method surpasses various baselines in terms of performance and functionality.",goal imit learn match exampl expert behavior without access reinforc signal expert demonstr provid human howev often show signific variabl due latent factor explicit model introduc extens generat adversari imit learn method infer latent structur human decis make unsupervis way method onli imit complex behavior also learn interpret meaning represent demonstr approach applic high dimension environ includ raw visual input highway drive domain show model learn demonstr abl produc differ style human like drive behavior accur anticip human action method surpass various baselin term perform function,"['Yunzhu Li', 'Jiaming Song', 'Stefano Ermon']","['cs.LG', 'cs.AI', 'cs.CV']",False,False,False,False,False,True
7,2017-03-28T14:05:16Z,2017-03-26T03:47:54Z,http://arxiv.org/abs/1703.08762v1,http://arxiv.org/pdf/1703.08762v1,Team Formation for Scheduling Educational Material in Massive Online   Classes,team format schedul educ materi massiv onlin class,"Whether teaching in a classroom or a Massive Online Open Course it is crucial to present the material in a way that benefits the audience as a whole. We identify two important tasks to solve towards this objective, 1 group students so that they can maximally benefit from peer interaction and 2 find an optimal schedule of the educational material for each group. Thus, in this paper, we solve the problem of team formation and content scheduling for education. Given a time frame d, a set of students S with their required need to learn different activities T and given k as the number of desired groups, we study the problem of finding k group of students. The goal is to teach students within time frame d such that their potential for learning is maximized and find the best schedule for each group. We show this problem to be NP-hard and develop a polynomial algorithm for it. We show our algorithm to be effective both on synthetic as well as a real data set. For our experiments, we use real data on students' grades in a Computer Science department. As part of our contribution, we release a semi-synthetic dataset that mimics the properties of the real data.",whether teach classroom massiv onlin open cours crucial present materi way benefit audienc whole identifi two import task solv toward object group student maxim benefit peer interact find optim schedul educ materi group thus paper solv problem team format content schedul educ given time frame set student requir need learn differ activ given number desir group studi problem find group student goal teach student within time frame potenti learn maxim find best schedul group show problem np hard develop polynomi algorithm show algorithm effect synthet well real data set experi use real data student grade comput scienc depart part contribut releas semi synthet dataset mimic properti real data,"['Sanaz Bahargam', 'Dóra Erdos', 'Azer Bestavros', 'Evimaria Terzi']",['cs.AI'],False,False,True,False,False,True
11,2017-03-28T14:05:20Z,2017-03-24T13:00:52Z,http://arxiv.org/abs/1703.08397v1,http://arxiv.org/pdf/1703.08397v1,Reasoning by Cases in Structured Argumentation,reason case structur argument,"We extend the $ASPIC^+$ framework for structured argumentation so as to allow applications of the reasoning by cases inference scheme for defeasible arguments. Given an argument with conclusion `$A$ or $B$', an argument based on $A$ with conclusion $C$, and an argument based on $B$ with conclusion $C$, we allow the construction of an argument with conclusion $C$. We show how our framework leads to different results than other approaches in non-monotonic logic for dealing with disjunctive information, such as disjunctive default theory or approaches based on the OR-rule (which allows to derive a defeasible rule `If ($A$ or $B$) then $C$', given two defeasible rules `If $A$ then $C$' and `If $B$ then $C$'). We raise new questions regarding the subtleties of reasoning defeasibly with disjunctive information, and show that its formalization is more intricate than one would presume.",extend aspic framework structur argument allow applic reason case infer scheme defeas argument given argument conclus argument base conclus argument base conclus allow construct argument conclus show framework lead differ result approach non monoton logic deal disjunct inform disjunct default theori approach base rule allow deriv defeas rule given two defeas rule rais new question regard subtleti reason defeas disjunct inform show formal intric one would presum,"['Mathieu Beirlaen', 'Jesse Heyninck', 'Christian Straßer']","['cs.AI', '68T27', 'I.2.3; I.2.4']",False,False,False,False,False,True
13,2017-03-28T14:05:20Z,2017-03-24T01:59:11Z,http://arxiv.org/abs/1703.08262v1,http://arxiv.org/pdf/1703.08262v1,Supervisor Synthesis of POMDP based on Automata Learning,supervisor synthesi pomdp base automata learn,"As a general and thus popular model for autonomous systems, partially observable Markov decision process (POMDP) can capture uncertainties from different sources like sensing noises, actuation errors, and uncertain environments. However, its comprehensiveness makes the planning and control in POMDP difficult. Traditional POMDP planning problems target to find the optimal policy to maximize the expectation of accumulated rewards. But for safety critical applications, guarantees of system performance described by formal specifications are desired, which motivates us to consider formal methods to synthesize supervisor for POMDP. With system specifications given by Probabilistic Computation Tree Logic (PCTL), we propose a supervisory control framework with a type of deterministic finite automata (DFA), za-DFA, as the controller form. While the existing work mainly relies on optimization techniques to learn fixed-size finite state controllers (FSCs), we develop an $L^*$ learning based algorithm to determine both space and transitions of za-DFA. Membership queries and different oracles for conjectures are defined. The learning algorithm is sound and complete. An example is given in detailed steps to illustrate the supervisor synthesis algorithm.",general thus popular model autonom system partial observ markov decis process pomdp captur uncertainti differ sourc like sens nois actuat error uncertain environ howev comprehens make plan control pomdp difficult tradit pomdp plan problem target find optim polici maxim expect accumul reward safeti critic applic guarante system perform describ formal specif desir motiv us consid formal method synthes supervisor pomdp system specif given probabilist comput tree logic pctl propos supervisori control framework type determinist finit automata dfa za dfa control form exist work main reli optim techniqu learn fix size finit state control fscs develop learn base algorithm determin space transit za dfa membership queri differ oracl conjectur defin learn algorithm sound complet exampl given detail step illustr supervisor synthesi algorithm,"['Xiaobin Zhang', 'Bo Wu', 'Hai Lin']","['cs.SY', 'cs.AI', 'cs.FL']",False,False,False,False,False,True
14,2017-03-28T14:05:20Z,2017-03-23T17:07:14Z,http://arxiv.org/abs/1703.08144v1,http://arxiv.org/pdf/1703.08144v1,Note Value Recognition for Rhythm Transcription Using a Markov Random   Field Model for Musical Scores and Performances of Piano Music,note valu recognit rhythm transcript use markov random field model music score perform piano music,"This paper presents a statistical method for music transcription that can estimate score times of note onsets and offsets from polyphonic MIDI performance signals. Because performed note durations can deviate largely from score-indicated values, previous methods had the problem of not being able to accurately estimate offset score times (or note values) and thus could only output incomplete musical scores. Based on observations that the pitch context and onset score times are influential on the configuration of note values, we construct a context-tree model that provides prior distributions of note values using these features and combine it with a performance model in the framework of Markov random fields. Evaluation results showed that our method reduces the average error rate by around 40 percent compared to existing/simple methods. We also confirmed that, in our model, the score model plays a more important role than the performance model, and it automatically captures the voice structure by unsupervised learning.",paper present statist method music transcript estim score time note onset offset polyphon midi perform signal becaus perform note durat deviat larg score indic valu previous method problem abl accur estim offset score time note valu thus could onli output incomplet music score base observ pitch context onset score time influenti configur note valu construct context tree model provid prior distribut note valu use featur combin perform model framework markov random field evalu result show method reduc averag error rate around percent compar exist simpl method also confirm model score model play import role perform model automat captur voic structur unsupervis learn,"['Eita Nakamura', 'Kazuyoshi Yoshii', 'Simon Dixon']","['cs.AI', 'cs.SD']",False,False,False,False,False,True
17,2017-03-28T14:05:20Z,2017-03-23T10:44:18Z,http://arxiv.org/abs/1703.07994v1,http://arxiv.org/pdf/1703.07994v1,Containment for Rule-Based Ontology-Mediated Queries,contain rule base ontolog mediat queri,"Many efforts have been dedicated to identifying restrictions on ontologies expressed as tuple-generating dependencies (tgds), a.k.a. existential rules, that lead to the decidability for the problem of answering ontology-mediated queries (OMQs). This has given rise to three families of formalisms: guarded, non-recursive, and sticky sets of tgds. In this work, we study the containment problem for OMQs expressed in such formalisms, which is a key ingredient for solving static analysis tasks associated with them. Our main contribution is the development of specially tailored techniques for OMQ containment under the classes of tgds stated above. This enables us to obtain sharp complexity bounds for the problems at hand. We also apply our techniques to pinpoint the complexity of problems associated with two emerging applications of OMQ containment: distribution over components and UCQ rewritability of OMQs.",mani effort dedic identifi restrict ontolog express tupl generat depend tgds existenti rule lead decid problem answer ontolog mediat queri omq given rise three famili formal guard non recurs sticki set tgds work studi contain problem omq express formal key ingredi solv static analysi task associ main contribut develop special tailor techniqu omq contain class tgds state abov enabl us obtain sharp complex bound problem hand also appli techniqu pinpoint complex problem associ two emerg applic omq contain distribut compon ucq rewrit omq,"['Pablo Barcelo', 'Gerald Berger', 'Andreas Pieris']","['cs.DB', 'cs.AI', 'cs.LO']",False,False,False,False,False,True
18,2017-03-28T14:05:20Z,2017-03-23T07:13:28Z,http://arxiv.org/abs/1703.07948v1,http://arxiv.org/pdf/1703.07948v1,Fast Stochastic Variance Reduced Gradient Method with Momentum   Acceleration for Machine Learning,fast stochast varianc reduc gradient method momentum acceler machin learn,"Recently, research on accelerated stochastic gradient descent methods (e.g., SVRG) has made exciting progress (e.g., linear convergence for strongly convex problems). However, the best-known methods (e.g., Katyusha) requires at least two auxiliary variables and two momentum parameters. In this paper, we propose a fast stochastic variance reduction gradient (FSVRG) method, in which we design a novel update rule with the Nesterov's momentum and incorporate the technique of growing epoch size. FSVRG has only one auxiliary variable and one momentum weight, and thus it is much simpler and has much lower per-iteration complexity. We prove that FSVRG achieves linear convergence for strongly convex problems and the optimal $\mathcal{O}(1/T^2)$ convergence rate for non-strongly convex problems, where $T$ is the number of outer-iterations. We also extend FSVRG to directly solve the problems with non-smooth component functions, such as SVM. Finally, we empirically study the performance of FSVRG for solving various machine learning problems such as logistic regression, ridge regression, Lasso and SVM. Our results show that FSVRG outperforms the state-of-the-art stochastic methods, including Katyusha.",recent research acceler stochast gradient descent method svrg made excit progress linear converg strong convex problem howev best known method katyusha requir least two auxiliari variabl two momentum paramet paper propos fast stochast varianc reduct gradient fsvrg method design novel updat rule nesterov momentum incorpor techniqu grow epoch size fsvrg onli one auxiliari variabl one momentum weight thus much simpler much lower per iter complex prove fsvrg achiev linear converg strong convex problem optim mathcal converg rate non strong convex problem number outer iter also extend fsvrg direct solv problem non smooth compon function svm final empir studi perform fsvrg solv various machin learn problem logist regress ridg regress lasso svm result show fsvrg outperform state art stochast method includ katyusha,"['Fanhua Shang', 'Yuanyuan Liu', 'James Cheng', 'Jiacheng Zhuo']","['cs.LG', 'cs.AI', 'math.OC', 'stat.ML']",False,False,False,False,False,True
