,プログラム実行日時,論文更新日時,論文リンク,PDFリンク,元論文タイトル,論文タイトル,元サマリ,サマリ,著者,事前付与ジャンル,ニューラルネットワーク,自然言語処理,マーケティング,画像解析,音声解析,強化学習
12,2017-03-28T14:05:20Z,2017-03-24T12:07:34Z,http://arxiv.org/abs/1703.08383v1,http://arxiv.org/pdf/1703.08383v1,Smart Augmentation - Learning an Optimal Data Augmentation Strategy,smart augment learn optim data augment strategi,"A recurring problem faced when training neural networks is that there is typically not enough data to maximize the generalization capability of deep neural networks(DNN). There are many techniques to address this, including data augmentation, dropout, and transfer learning. In this paper, we introduce an additional method which we call Smart Augmentation and we show how to use it to increase the accuracy and reduce overfitting on a target network. Smart Augmentation works by creating a network that learns how to generate augmented data during the training process of a target network in a way that reduces that networks loss. This allows us to learn augmentations that minimize the error of that network.   Smart Augmentation has shown the potential to increase accuracy by demonstrably significant measures on all datasets tested. In addition, it has shown potential to achieve similar or improved performance levels with significantly smaller network sizes in a number of tested cases.",recur problem face train neural network typic enough data maxim general capabl deep neural network dnn mani techniqu address includ data augment dropout transfer learn paper introduc addit method call smart augment show use increas accuraci reduc overfit target network smart augment work creat network learn generat augment data dure train process target network way reduc network loss allow us learn augment minim error network smart augment shown potenti increas accuraci demonstr signific measur dataset test addit shown potenti achiev similar improv perform level signific smaller network size number test case,"['Joseph Lemley', 'Shabab Bazrafkan', 'Peter Corcoran']","['cs.AI', 'cs.LG', 'stat.ML']",False,False,False,True,False,False
33,2017-03-28T14:05:28Z,2017-03-22T17:08:40Z,http://arxiv.org/abs/1703.07255v2,http://arxiv.org/pdf/1703.07255v2,ZM-Net: Real-time Zero-shot Image Manipulation Network,zm net real time zero shot imag manipul network,"Many problems in image processing and computer vision (e.g. colorization, style transfer) can be posed as 'manipulating' an input image into a corresponding output image given a user-specified guiding signal. A holy-grail solution towards generic image manipulation should be able to efficiently alter an input image with any personalized signals (even signals unseen during training), such as diverse paintings and arbitrary descriptive attributes. However, existing methods are either inefficient to simultaneously process multiple signals (let alone generalize to unseen signals), or unable to handle signals from other modalities. In this paper, we make the first attempt to address the zero-shot image manipulation task. We cast this problem as manipulating an input image according to a parametric model whose key parameters can be conditionally generated from any guiding signal (even unseen ones). To this end, we propose the Zero-shot Manipulation Net (ZM-Net), a fully-differentiable architecture that jointly optimizes an image-transformation network (TNet) and a parameter network (PNet). The PNet learns to generate key transformation parameters for the TNet given any guiding signal while the TNet performs fast zero-shot image manipulation according to both signal-dependent parameters from the PNet and signal-invariant parameters from the TNet itself. Extensive experiments show that our ZM-Net can perform high-quality image manipulation conditioned on different forms of guiding signals (e.g. style images and attributes) in real-time (tens of milliseconds per image) even for unseen signals. Moreover, a large-scale style dataset with over 20,000 style images is also constructed to promote further research.",mani problem imag process comput vision color style transfer pose manipul input imag correspond output imag given user specifi guid signal holi grail solut toward generic imag manipul abl effici alter input imag ani person signal even signal unseen dure train divers paint arbitrari descript attribut howev exist method either ineffici simultan process multipl signal let alon general unseen signal unabl handl signal modal paper make first attempt address zero shot imag manipul task cast problem manipul input imag accord parametr model whose key paramet condit generat ani guid signal even unseen one end propos zero shot manipul net zm net fulli differenti architectur joint optim imag transform network tnet paramet network pnet pnet learn generat key transform paramet tnet given ani guid signal tnet perform fast zero shot imag manipul accord signal depend paramet pnet signal invari paramet tnet extens experi show zm net perform high qualiti imag manipul condit differ form guid signal style imag attribut real time ten millisecond per imag even unseen signal moreov larg scale style dataset style imag also construct promot research,"['Hao Wang', 'Xiaodan Liang', 'Hao Zhang', 'Dit-Yan Yeung', 'Eric P. Xing']","['cs.CV', 'cs.AI', 'cs.GR', 'cs.LG', 'stat.ML']",False,False,False,True,False,False
37,2017-03-28T14:05:28Z,2017-03-23T20:06:15Z,http://arxiv.org/abs/1703.07022v2,http://arxiv.org/pdf/1703.07022v2,Recurrent Topic-Transition GAN for Visual Paragraph Generation,recurr topic transit gan visual paragraph generat,"A natural image usually conveys rich semantic content and can be viewed from different angles. Existing image description methods are largely restricted by small sets of biased visual paragraph annotations, and fail to cover rich underlying semantics. In this paper, we investigate a semi-supervised paragraph generative framework that is able to synthesize diverse and semantically coherent paragraph descriptions by reasoning over local semantic regions and exploiting linguistic knowledge. The proposed Recurrent Topic-Transition Generative Adversarial Network (RTT-GAN) builds an adversarial framework between a structured paragraph generator and multi-level paragraph discriminators. The paragraph generator generates sentences recurrently by incorporating region-based visual and language attention mechanisms at each step. The quality of generated paragraph sentences is assessed by multi-level adversarial discriminators from two aspects, namely, plausibility at sentence level and topic-transition coherence at paragraph level. The joint adversarial training of RTT-GAN drives the model to generate realistic paragraphs with smooth logical transition between sentence topics. Extensive quantitative experiments on image and video paragraph datasets demonstrate the effectiveness of our RTT-GAN in both supervised and semi-supervised settings. Qualitative results on telling diverse stories for an image also verify the interpretability of RTT-GAN.",natur imag usual convey rich semant content view differ angl exist imag descript method larg restrict small set bias visual paragraph annot fail cover rich semant paper investig semi supervis paragraph generat framework abl synthes divers semant coher paragraph descript reason local semant region exploit linguist knowledg propos recurr topic transit generat adversari network rtt gan build adversari framework structur paragraph generat multi level paragraph discrimin paragraph generat generat sentenc recurr incorpor region base visual languag attent mechan step qualiti generat paragraph sentenc assess multi level adversari discrimin two aspect name plausibl sentenc level topic transit coher paragraph level joint adversari train rtt gan drive model generat realist paragraph smooth logic transit sentenc topic extens quantit experi imag video paragraph dataset demonstr effect rtt gan supervis semi supervis set qualit result tell divers stori imag also verifi interpret rtt gan,"['Xiaodan Liang', 'Zhiting Hu', 'Hao Zhang', 'Chuang Gan', 'Eric P. Xing']","['cs.CV', 'cs.AI', 'cs.LG']",False,False,False,True,False,False
39,2017-03-28T14:05:28Z,2017-03-20T19:17:14Z,http://arxiv.org/abs/1703.06931v1,http://arxiv.org/pdf/1703.06931v1,Learning Correspondence Structures for Person Re-identification,learn correspond structur person identif,"This paper addresses the problem of handling spatial misalignments due to camera-view changes or human-pose variations in person re-identification. We first introduce a boosting-based approach to learn a correspondence structure which indicates the patch-wise matching probabilities between images from a target camera pair. The learned correspondence structure can not only capture the spatial correspondence pattern between cameras but also handle the viewpoint or human-pose variation in individual images. We further introduce a global constraint-based matching process. It integrates a global matching constraint over the learned correspondence structure to exclude cross-view misalignments during the image patch matching process, hence achieving a more reliable matching score between images. Finally, we also extend our approach by introducing a multi-structure scheme, which learns a set of local correspondence structures to capture the spatial correspondence sub-patterns between a camera pair, so as to handle the spatial misalignments between individual images in a more precise way. Experimental results on various datasets demonstrate the effectiveness of our approach.",paper address problem handl spatial misalign due camera view chang human pose variat person identif first introduc boost base approach learn correspond structur indic patch wise match probabl imag target camera pair learn correspond structur onli captur spatial correspond pattern camera also handl viewpoint human pose variat individu imag introduc global constraint base match process integr global match constraint learn correspond structur exclud cross view misalign dure imag patch match process henc achiev reliabl match score imag final also extend approach introduc multi structur scheme learn set local correspond structur captur spatial correspond sub pattern camera pair handl spatial misalign individu imag precis way experiment result various dataset demonstr effect approach,"['Weiyao Lin', 'Yang Shen', 'Junchi Yan', 'Mingliang Xu', 'Jianxin Wu', 'Jingdong Wang', 'Ke Lu']","['cs.CV', 'cs.AI', 'cs.MM']",False,False,False,True,False,False
47,2017-03-28T14:05:32Z,2017-03-19T15:21:32Z,http://arxiv.org/abs/1703.06452v1,http://arxiv.org/pdf/1703.06452v1,Deep Neural Networks for Semantic Segmentation of Multispectral Remote   Sensing Imagery,deep neural network semant segment multispectr remot sens imageri,"A semantic segmentation algorithm must assign a label to every pixel in an image. Recently, semantic segmentation of RGB imagery has advanced significantly due to deep learning. Because creating datasets for semantic segmentation is laborious, these datasets tend to be significantly smaller than object recognition datasets. This makes it difficult to directly train a deep neural network for semantic segmentation, because it will be prone to overfitting. To cope with this, deep learning models typically use convolutional neural networks pre-trained on large-scale image classification datasets, which are then fine-tuned for semantic segmentation. For non-RGB imagery, this is currently not possible because large-scale labeled non-RGB datasets do not exist. In this paper, we developed two deep neural networks for semantic segmentation of multispectral remote sensing imagery. Prior to training on the target dataset, we initialize the networks with large amounts of synthetic multispectral imagery. We show that this significantly improves results on real-world remote sensing imagery, and we establish a new state-of-the-art result on the challenging Hamlin Beach State Park Dataset.",semant segment algorithm must assign label everi pixel imag recent semant segment rgb imageri advanc signific due deep learn becaus creat dataset semant segment labori dataset tend signific smaller object recognit dataset make difficult direct train deep neural network semant segment becaus prone overfit cope deep learn model typic use convolut neural network pre train larg scale imag classif dataset fine tune semant segment non rgb imageri current possibl becaus larg scale label non rgb dataset exist paper develop two deep neural network semant segment multispectr remot sens imageri prior train target dataset initi network larg amount synthet multispectr imageri show signific improv result real world remot sens imageri establish new state art result challeng hamlin beach state park dataset,"['Ronald Kemker', 'Christopher Kanan']","['cs.CV', 'cs.AI']",False,False,False,True,False,False
87,2017-03-28T14:05:50Z,2017-03-13T12:49:20Z,http://arxiv.org/abs/1703.04363v1,http://arxiv.org/pdf/1703.04363v1,Deep Value Networks Learn to Evaluate and Iteratively Refine Structured   Outputs,deep valu network learn evalu iter refin structur output,"We approach structured output prediction by learning a deep value network (DVN) that evaluates different output structures for a given input. For example, when applied to image segmentation, the value network takes an image and a segmentation mask as inputs and predicts a scalar score evaluating the mask quality and its correspondence with the image. Once the value network is optimized, at inference, it finds output structures that maximize the score of the value net via gradient descent on continuous relaxations of structured outputs. Thus DVN takes advantage of the joint modeling of the inputs and outputs. Our framework applies to a wide range of structured output prediction problems. We conduct experiments on multi-label classification based on text data and on image segmentation problems. DVN outperforms several strong baselines and the state-of-the-art results on these benchmarks. In addition, on image segmentation, the proposed deep value network learns complex shape priors and effectively combines image information with the prior to obtain competitive segmentation results.",approach structur output predict learn deep valu network dvn evalu differ output structur given input exampl appli imag segment valu network take imag segment mask input predict scalar score evalu mask qualiti correspond imag onc valu network optim infer find output structur maxim score valu net via gradient descent continu relax structur output thus dvn take advantag joint model input output framework appli wide rang structur output predict problem conduct experi multi label classif base text data imag segment problem dvn outperform sever strong baselin state art result benchmark addit imag segment propos deep valu network learn complex shape prior effect combin imag inform prior obtain competit segment result,"['Michael Gygli', 'Mohammad Norouzi', 'Anelia Angelova']","['cs.LG', 'cs.AI', 'cs.CV']",False,False,False,True,False,False
218,2017-03-28T14:07:20Z,2017-03-12T07:21:50Z,http://arxiv.org/abs/1703.04079v1,http://arxiv.org/pdf/1703.04079v1,SurfNet: Generating 3D shape surfaces using deep residual networks,surfnet generat shape surfac use deep residu network,"3D shape models are naturally parameterized using vertices and faces, \ie, composed of polygons forming a surface. However, current 3D learning paradigms for predictive and generative tasks using convolutional neural networks focus on a voxelized representation of the object. Lifting convolution operators from the traditional 2D to 3D results in high computational overhead with little additional benefit as most of the geometry information is contained on the surface boundary. Here we study the problem of directly generating the 3D shape surface of rigid and non-rigid shapes using deep convolutional neural networks. We develop a procedure to create consistent `geometry images' representing the shape surface of a category of 3D objects. We then use this consistent representation for category-specific shape surface generation from a parametric representation or an image by developing novel extensions of deep residual networks for the task of geometry image generation. Our experiments indicate that our network learns a meaningful representation of shape surfaces allowing it to interpolate between shape orientations and poses, invent new shape surfaces and reconstruct 3D shape surfaces from previously unseen images.",shape model natur parameter use vertic face ie compos polygon form surfac howev current learn paradigm predict generat task use convolut neural network focus voxel represent object lift convolut oper tradit result high comput overhead littl addit benefit geometri inform contain surfac boundari studi problem direct generat shape surfac rigid non rigid shape use deep convolut neural network develop procedur creat consist geometri imag repres shape surfac categori object use consist represent categori specif shape surfac generat parametr represent imag develop novel extens deep residu network task geometri imag generat experi indic network learn meaning represent shape surfac allow interpol shape orient pose invent new shape surfac reconstruct shape surfac previous unseen imag,"['Ayan Sinha', 'Asim Unmesh', 'Qixing Huang', 'Karthik Ramani']","['cs.CV', 'cs.CG']",False,False,False,True,False,False
250,2017-03-28T14:07:37Z,2017-02-17T14:34:08Z,http://arxiv.org/abs/1702.05358v1,http://arxiv.org/pdf/1702.05358v1,Computational topology of graphs on surfaces,comput topolog graph surfac,"Computational topology is an area that revisits topological problems from an algorithmic point of view, and develops topological tools for improved algorithms. We survey results in computational topology that are concerned with graphs drawn on surfaces. Typical questions include representing surfaces and graphs embedded on them computationally, deciding whether a graph embeds on a surface, solving computational problems related to homotopy, optimizing curves and graphs on surfaces, and solving standard graph algorithm problems more efficiently in the case of surface-embedded graphs.",comput topolog area revisit topolog problem algorithm point view develop topolog tool improv algorithm survey result comput topolog concern graph drawn surfac typic question includ repres surfac graph embed comput decid whether graph emb surfac solv comput problem relat homotopi optim curv graph surfac solv standard graph algorithm problem effici case surfac embed graph,['Éric Colin de Verdière'],"['cs.CG', 'cs.DM', 'cs.DS', 'math.AT', 'math.CO', '68U05, 05C10, 57M15, 68R10', 'F.2.2; G.2.2; I.3.5']",False,False,False,True,False,True
345,2017-03-28T14:06:16Z,2017-03-20T00:28:07Z,http://arxiv.org/abs/1703.05908v2,http://arxiv.org/pdf/1703.05908v2,Learning Robust Visual-Semantic Embeddings,learn robust visual semant embed,"Many of the existing methods for learning joint embedding of images and text use only supervised information from paired images and its textual attributes. Taking advantage of the recent success of unsupervised learning in deep neural networks, we propose an end-to-end learning framework that is able to extract more robust multi-modal representations across domains. The proposed method combines representation learning models (i.e., auto-encoders) together with cross-domain learning criteria (i.e., Maximum Mean Discrepancy loss) to learn joint embeddings for semantic and visual features. A novel technique of unsupervised-data adaptation inference is introduced to construct more comprehensive embeddings for both labeled and unlabeled data. We evaluate our method on Animals with Attributes and Caltech-UCSD Birds 200-2011 dataset with a wide range of applications, including zero and few-shot image recognition and retrieval, from inductive to transductive settings. Empirically, we show that our framework improves over the current state of the art on many of the considered tasks.",mani exist method learn joint embed imag text use onli supervis inform pair imag textual attribut take advantag recent success unsupervis learn deep neural network propos end end learn framework abl extract robust multi modal represent across domain propos method combin represent learn model auto encod togeth cross domain learn criteria maximum mean discrep loss learn joint embed semant visual featur novel techniqu unsupervis data adapt infer introduc construct comprehens embed label unlabel data evalu method anim attribut caltech ucsd bird dataset wide rang applic includ zero shot imag recognit retriev induct transduct set empir show framework improv current state art mani consid task,"['Yao-Hung Hubert Tsai', 'Liang-Kang Huang', 'Ruslan Salakhutdinov']","['cs.CV', 'cs.CL', 'cs.LG']",False,False,False,True,False,False
402,2017-03-28T14:08:43Z,2017-03-27T17:37:33Z,http://arxiv.org/abs/1703.09200v1,http://arxiv.org/pdf/1703.09200v1,Deep Poincare Map For Robust Medical Image Segmentation,deep poincar map robust medic imag segment,"Precise segmentation is a prerequisite for an accurate quantification of the imaged objects. It is a very challenging task in many medical imaging applications due to relatively poor image quality and data scarcity. In this work, we present an innovative segmentation paradigm, named Deep Poincare Map (DPM), by coupling the dynamical system theory with a novel deep learning based approach. Firstly, we model the image segmentation process as a dynamical system, in which limit cycle models the boundary of the region of interest (ROI). Secondly, instead of segmenting the ROI directly, convolutional neural network is employed to predict the vector field of the dynamical system. Finally, the boundary of the ROI is identified using the Poincare map and the flow integration. We demonstrate that our segmentation model can be built using a very limited number of train- ing data. By cross-validation, we can achieve a mean Dice score of 94% compared to the manual delineation (ground truth) of the left ventricle ROI defined by clinical experts on a cardiac MRI dataset. Compared with other state-of-the-art methods, we can conclude that the proposed DPM method is adaptive, accurate and robust. It is straightforward to apply this method for other medical imaging applications.",precis segment prerequisit accur quantif imag object veri challeng task mani medic imag applic due relat poor imag qualiti data scarciti work present innov segment paradigm name deep poincar map dpm coupl dynam system theori novel deep learn base approach first model imag segment process dynam system limit cycl model boundari region interest roi second instead segment roi direct convolut neural network employ predict vector field dynam system final boundari roi identifi use poincar map flow integr demonstr segment model built use veri limit number train ing data cross valid achiev mean dice score compar manual delin ground truth left ventricl roi defin clinic expert cardiac mri dataset compar state art method conclud propos dpm method adapt accur robust straightforward appli method medic imag applic,"['Yuanhan Mo', 'Fangde Liu', 'Jingqing Zhang', 'Guang Yang', 'Taigang He', 'Yike Guo']",['cs.CV'],False,False,False,True,False,False
