,プログラム実行日時,論文更新日時,論文リンク,PDFリンク,元論文タイトル,論文タイトル,元サマリ,サマリ,著者,事前付与ジャンル,ニューラルネットワーク,自然言語処理,マーケティング,画像解析,音声解析,強化学習
16,2017-03-28T14:05:20Z,2017-03-23T12:32:10Z,http://arxiv.org/abs/1703.08041v1,http://arxiv.org/pdf/1703.08041v1,Resolving the Complexity of Some Fundamental Problems in Computational   Social Choice,resolv complex fundament problem comput social choic,This thesis is in the area called computational social choice which is an intersection area of algorithms and social choice theory.,thesi area call comput social choic intersect area algorithm social choic theori,['Palash Dey'],"['cs.DS', 'cs.AI', 'cs.MA']",False,False,False,False,True,False
65,2017-03-28T14:05:41Z,2017-03-15T21:20:44Z,http://arxiv.org/abs/1703.05390v1,http://arxiv.org/pdf/1703.05390v1,Convolutional Recurrent Neural Networks for Small-Footprint Keyword   Spotting,convolut recurr neural network small footprint keyword spot,"Keyword spotting (KWS) constitutes a major component of human-technology interfaces. Maximizing the detection accuracy at a low false alarm (FA) rate, while minimizing the footprint size, latency and complexity are the goals for KWS. Towards achieving them, we study Convolutional Recurrent Neural Networks (CRNNs). Inspired by large-scale state-of-the-art speech recognition systems, we combine the strengths of convolutional layers and recurrent layers to exploit local structure and long-range context. We analyze the effect of architecture parameters, and propose training strategies to improve performance. With only ~230k parameters, our CRNN model yields acceptably low latency, and achieves 97.71% accuracy at 0.5 FA/hour for 5 dB signal-to-noise ratio.",keyword spot kws constitut major compon human technolog interfac maxim detect accuraci low fals alarm fa rate minim footprint size latenc complex goal kws toward achiev studi convolut recurr neural network crnns inspir larg scale state art speech recognit system combin strength convolut layer recurr layer exploit local structur long rang context analyz effect architectur paramet propos train strategi improv perform onli paramet crnn model yield accept low latenc achiev accuraci fa hour db signal nois ratio,"['Sercan O. Arik', 'Markus Kliegl', 'Rewon Child', 'Joel Hestness', 'Andrew Gibiansky', 'Chris Fougner', 'Ryan Prenger', 'Adam Coates']","['cs.CL', 'cs.AI', 'cs.LG']",False,False,False,False,True,False
177,2017-03-28T14:07:09Z,2017-02-15T19:39:58Z,http://arxiv.org/abs/1702.04748v1,http://arxiv.org/pdf/1702.04748v1,An Improved Dictatorship Test with Perfect Completeness,improv dictatorship test perfect complet,"A Boolean function $f:\{0,1\}^n\rightarrow \{0,1\}$ is called a dictator if it depends on exactly one variable i.e $f(x_1, x_2, \ldots, x_n) = x_i$ for some $i\in [n]$. In this work, we study a $k$-query dictatorship test. Dictatorship tests are central in proving many hardness results for constraint satisfaction problems.   The dictatorship test is said to have {\em perfect completeness} if it accepts any dictator function. The {\em soundness} of a test is the maximum probability with which it accepts any function far from a dictator. Our main result is a $k$-query dictatorship test with perfect completeness and soundness $ \frac{2k + 1}{2^k}$, where $k$ is of the form $2^t -1$ for any integer $t > 2$. This improves upon the result of \cite{TY15} which gave a dictatorship test with soundness $ \frac{2k + 3}{2^k}$.",boolean function rightarrow call dictat depend exact one variabl ldot work studi queri dictatorship test dictatorship test central prove mani hard result constraint satisfact problem dictatorship test said em perfect complet accept ani dictat function em sound test maximum probabl accept ani function far dictat main result queri dictatorship test perfect complet sound frac form ani integ improv upon result cite ty gave dictatorship test sound frac,"['Amey Bhangale', 'Subhash Khot', 'Devanathan Thiruvenkatachari']",['cs.CC'],False,False,False,False,True,False
180,2017-03-28T14:07:13Z,2017-02-14T18:21:28Z,http://arxiv.org/abs/1702.04322v1,http://arxiv.org/pdf/1702.04322v1,Parameterized Algorithms for Recognizing Monopolar and 2-Subcolorable   Graphs,parameter algorithm recogn monopolar subcolor graph,"A graph $G$ is a $(\Pi_A,\Pi_B)$-graph if $V(G)$ can be bipartitioned into $A$ and $B$ such that $G[A]$ satisfies property $\Pi_A$ and $G[B]$ satisfies property $\Pi_B$. The $(\Pi_{A},\Pi_{B})$-Recognition problem is to recognize whether a given graph is a $(\Pi_A,\Pi_B)$-graph. There are many $(\Pi_{A},\Pi_{B})$-Recognition problems, including the recognition problems for bipartite, split, and unipolar graphs. We present efficient algorithms for many cases of $(\Pi_A,\Pi_B)$-Recognition based on a technique which we dub inductive recognition. In particular, we give fixed-parameter algorithms for two NP-hard $(\Pi_{A},\Pi_{B})$-Recognition problems, Monopolar Recognition and 2-Subcoloring. We complement our algorithmic results with several hardness results for $(\Pi_{A},\Pi_{B})$-Recognition.",graph pi pi graph bipartit satisfi properti pi satisfi properti pi pi pi recognit problem recogn whether given graph pi pi graph mani pi pi recognit problem includ recognit problem bipartit split unipolar graph present effici algorithm mani case pi pi recognit base techniqu dub induct recognit particular give fix paramet algorithm two np hard pi pi recognit problem monopolar recognit subcolor complement algorithm result sever hard result pi pi recognit,"['Iyad Kanj', 'Christian Komusiewicz', 'Manuel Sorge', 'Erik Jan van Leeuwen']","['cs.CC', 'cs.DS']",False,False,False,False,True,True
266,2017-03-28T14:07:41Z,2017-02-02T22:20:25Z,http://arxiv.org/abs/1702.00849v1,http://arxiv.org/pdf/1702.00849v1,On the union complexity of families of axis-parallel rectangles with a   low packing number,union complex famili axi parallel rectangl low pack number,"Let R be a family of n axis-parallel rectangles with packing number p-1, meaning that among any p of the rectangles, there are two with a non-empty intersection. We show that the union complexity of R is at most O(n+p^2), and that the (<=k)-level complexity of R is at most O(kn+k^2p^2). Both upper bounds are tight.",let famili axi parallel rectangl pack number mean among ani rectangl two non empti intersect show union complex level complex kn upper bound tight,"['Chaya Keller', 'Shakhar Smorodinsky']","['math.CO', 'cs.CG', '52C45, 52C15']",False,False,False,False,True,False
312,2017-03-28T14:06:02Z,2017-03-24T15:40:19Z,http://arxiv.org/abs/1703.08471v1,http://arxiv.org/pdf/1703.08471v1,Batch-normalized joint training for DNN-based distant speech recognition,batch normal joint train dnn base distant speech recognit,"Improving distant speech recognition is a crucial step towards flexible human-machine interfaces. Current technology, however, still exhibits a lack of robustness, especially when adverse acoustic conditions are met. Despite the significant progress made in the last years on both speech enhancement and speech recognition, one potential limitation of state-of-the-art technology lies in composing modules that are not well matched because they are not trained jointly. To address this concern, a promising approach consists in concatenating a speech enhancement and a speech recognition deep neural network and to jointly update their parameters as if they were within a single bigger network. Unfortunately, joint training can be difficult because the output distribution of the speech enhancement system may change substantially during the optimization procedure. The speech recognition module would have to deal with an input distribution that is non-stationary and unnormalized. To mitigate this issue, we propose a joint training approach based on a fully batch-normalized architecture. Experiments, conducted using different datasets, tasks and acoustic conditions, revealed that the proposed framework significantly overtakes other competitive solutions, especially in challenging environments.",improv distant speech recognit crucial step toward flexibl human machin interfac current technolog howev still exhibit lack robust especi advers acoust condit met despit signific progress made last year speech enhanc speech recognit one potenti limit state art technolog lie compos modul well match becaus train joint address concern promis approach consist concaten speech enhanc speech recognit deep neural network joint updat paramet within singl bigger network unfortun joint train difficult becaus output distribut speech enhanc system may chang substanti dure optim procedur speech recognit modul would deal input distribut non stationari unnorm mitig issu propos joint train approach base fulli batch normal architectur experi conduct use differ dataset task acoust condit reveal propos framework signific overtak competit solut especi challeng environ,"['Mirco Ravanelli', 'Philemon Brakel', 'Maurizio Omologo', 'Yoshua Bengio']","['cs.CL', 'cs.LG']",False,False,False,False,True,False
324,2017-03-28T14:06:07Z,2017-03-23T13:48:45Z,http://arxiv.org/abs/1703.08068v1,http://arxiv.org/pdf/1703.08068v1,Sequential Recurrent Neural Networks for Language Modeling,sequenti recurr neural network languag model,"Feedforward Neural Network (FNN)-based language models estimate the probability of the next word based on the history of the last N words, whereas Recurrent Neural Networks (RNN) perform the same task based only on the last word and some context information that cycles in the network. This paper presents a novel approach, which bridges the gap between these two categories of networks. In particular, we propose an architecture which takes advantage of the explicit, sequential enumeration of the word history in FNN structure while enhancing each word representation at the projection layer through recurrent context information that evolves in the network. The context integration is performed using an additional word-dependent weight matrix that is also learned during the training. Extensive experiments conducted on the Penn Treebank (PTB) and the Large Text Compression Benchmark (LTCB) corpus showed a significant reduction of the perplexity when compared to state-of-the-art feedforward as well as recurrent neural network architectures.",feedforward neural network fnn base languag model estim probabl next word base histori last word wherea recurr neural network rnn perform task base onli last word context inform cycl network paper present novel approach bridg gap two categori network particular propos architectur take advantag explicit sequenti enumer word histori fnn structur enhanc word represent project layer recurr context inform evolv network context integr perform use addit word depend weight matrix also learn dure train extens experi conduct penn treebank ptb larg text compress benchmark ltcb corpus show signific reduct perplex compar state art feedforward well recurr neural network architectur,"['Youssef Oualil', 'Clayton Greenberg', 'Mittul Singh', 'Dietrich Klakow']",['cs.CL'],False,False,False,False,True,False
325,2017-03-28T14:06:07Z,2017-03-23T13:00:14Z,http://arxiv.org/abs/1703.08052v1,http://arxiv.org/pdf/1703.08052v1,Dynamic Bernoulli Embeddings for Language Evolution,dynam bernoulli embed languag evolut,"Word embeddings are a powerful approach for unsupervised analysis of language. Recently, Rudolph et al. (2016) developed exponential family embeddings, which cast word embeddings in a probabilistic framework. Here, we develop dynamic embeddings, building on exponential family embeddings to capture how the meanings of words change over time. We use dynamic embeddings to analyze three large collections of historical texts: the U.S. Senate speeches from 1858 to 2009, the history of computer science ACM abstracts from 1951 to 2014, and machine learning papers on the Arxiv from 2007 to 2015. We find dynamic embeddings provide better fits than classical embeddings and capture interesting patterns about how language changes.",word embed power approach unsupervis analysi languag recent rudolph et al develop exponenti famili embed cast word embed probabilist framework develop dynam embed build exponenti famili embed captur mean word chang time use dynam embed analyz three larg collect histor text senat speech histori comput scienc acm abstract machin learn paper arxiv find dynam embed provid better fit classic embed captur interest pattern languag chang,"['Maja Rudolph', 'David Blei']","['stat.ML', 'cs.CL']",False,False,False,False,True,False
326,2017-03-28T14:06:07Z,2017-03-23T11:02:47Z,http://arxiv.org/abs/1703.08002v1,http://arxiv.org/pdf/1703.08002v1,A network of deep neural networks for distant speech recognition,network deep neural network distant speech recognit,"Despite the remarkable progress recently made in distant speech recognition, state-of-the-art technology still suffers from a lack of robustness, especially when adverse acoustic conditions characterized by non-stationary noises and reverberation are met. A prominent limitation of current systems lies in the lack of matching and communication between the various technologies involved in the distant speech recognition process. The speech enhancement and speech recognition modules are, for instance, often trained independently. Moreover, the speech enhancement normally helps the speech recognizer, but the output of the latter is not commonly used, in turn, to improve the speech enhancement. To address both concerns, we propose a novel architecture based on a network of deep neural networks, where all the components are jointly trained and better cooperate with each other thanks to a full communication scheme between them. Experiments, conducted using different datasets, tasks and acoustic conditions, revealed that the proposed framework can overtake other competitive solutions, including recent joint training approaches.",despit remark progress recent made distant speech recognit state art technolog still suffer lack robust especi advers acoust condit character non stationari nois reverber met promin limit current system lie lack match communic various technolog involv distant speech recognit process speech enhanc speech recognit modul instanc often train independ moreov speech enhanc normal help speech recogn output latter common use turn improv speech enhanc address concern propos novel architectur base network deep neural network compon joint train better cooper thank full communic scheme experi conduct use differ dataset task acoust condit reveal propos framework overtak competit solut includ recent joint train approach,"['Mirco Ravanelli', 'Philemon Brakel', 'Maurizio Omologo', 'Yoshua Bengio']","['cs.CL', 'cs.LG']",False,False,False,False,True,False
328,2017-03-28T14:06:07Z,2017-03-22T17:17:16Z,http://arxiv.org/abs/1703.07754v1,http://arxiv.org/pdf/1703.07754v1,Direct Acoustics-to-Word Models for English Conversational Speech   Recognition,direct acoust word model english convers speech recognit,"Recent work on end-to-end automatic speech recognition (ASR) has shown that the connectionist temporal classification (CTC) loss can be used to convert acoustics to phone or character sequences. Such systems are used with a dictionary and separately-trained Language Model (LM) to produce word sequences. However, they are not truly end-to-end in the sense of mapping acoustics directly to words without an intermediate phone representation. In this paper, we present the first results employing direct acoustics-to-word CTC models on two well-known public benchmark tasks: Switchboard and CallHome. These models do not require an LM or even a decoder at run-time and hence recognize speech with minimal complexity. However, due to the large number of word output units, CTC word models require orders of magnitude more data to train reliably compared to traditional systems. We present some techniques to mitigate this issue. Our CTC word model achieves a word error rate of 13.0%/18.8% on the Hub5-2000 Switchboard/CallHome test sets without any LM or decoder compared with 9.6%/16.0% for phone-based CTC with a 4-gram LM. We also present rescoring results on CTC word model lattices to quantify the performance benefits of a LM, and contrast the performance of word and phone CTC models.",recent work end end automat speech recognit asr shown connectionist tempor classif ctc loss use convert acoust phone charact sequenc system use dictionari separ train languag model lm produc word sequenc howev truli end end sens map acoust direct word without intermedi phone represent paper present first result employ direct acoust word ctc model two well known public benchmark task switchboard callhom model requir lm even decod run time henc recogn speech minim complex howev due larg number word output unit ctc word model requir order magnitud data train reliabl compar tradit system present techniqu mitig issu ctc word model achiev word error rate hub switchboard callhom test set without ani lm decod compar phone base ctc gram lm also present rescor result ctc word model lattic quantifi perform benefit lm contrast perform word phone ctc model,"['Kartik Audhkhasi', 'Bhuvana Ramabhadran', 'George Saon', 'Michael Picheny', 'David Nahamoo']","['cs.CL', 'cs.NE', 'stat.ML']",False,False,False,False,True,False
