カテゴリ,元サマリ,元論文タイトル,著者,論文リンク
ニューラルネットワーク,"Over 50 million scholarly articles have been published: they constitute a unique repository of knowledge. In particular, one may infer from them relations between scientific concepts, such as synonyms and hyponyms. Artificial neural networks have been recently explored for relation extraction. In this work, we continue this line of work and present a system based on a convolutional neural network to extract relations. Our model ranked first in the SemEval-2017 task 10 (ScienceIE) for relation extraction in scientific articles (subtask C).",MIT at SemEval-2017 Task 10: Relation Extraction with Convolutional   Neural Networks,"['Ji Young Lee', 'Franck Dernoncourt', 'Peter Szolovits']",http://arxiv.org/abs/1704.01523v1
ニューラルネットワーク,"Over 50 million scholarly articles have been published: they constitute a unique repository of knowledge. In particular, one may infer from them relations between scientific concepts, such as synonyms and hyponyms. Artificial neural networks have been recently explored for relation extraction. In this work, we continue this line of work and present a system based on a convolutional neural network to extract relations. Our model ranked first in the SemEval-2017 task 10 (ScienceIE) for relation extraction in scientific articles (subtask C).",MIT at SemEval-2017 Task 10: Relation Extraction with Convolutional   Neural Networks,"['Ji Young Lee', 'Franck Dernoncourt', 'Peter Szolovits']",http://arxiv.org/abs/1704.01523v1
ニューラルネットワーク,"Over 50 million scholarly articles have been published: they constitute a unique repository of knowledge. In particular, one may infer from them relations between scientific concepts, such as synonyms and hyponyms. Artificial neural networks have been recently explored for relation extraction. In this work, we continue this line of work and present a system based on a convolutional neural network to extract relations. Our model ranked first in the SemEval-2017 task 10 (ScienceIE) for relation extraction in scientific articles (subtask C).",MIT at SemEval-2017 Task 10: Relation Extraction with Convolutional   Neural Networks,"['Ji Young Lee', 'Franck Dernoncourt', 'Peter Szolovits']",http://arxiv.org/abs/1704.01523v1
ニューラルネットワーク,"Large amount of image denoising literature focuses on single channel images and often experimentally validates the proposed methods on tens of images at most. In this paper, we investigate the interaction between denoising and classification on large scale dataset. Inspired by classification models, we propose a novel deep learning architecture for color (multichannel) image denoising and report on thousands of images from ImageNet dataset as well as commonly used imagery. We study the importance of (sufficient) training data, how semantic class information can be traded for improved denoising results. As a result, our method greatly improves PSNR performance by 0.34 - 0.51 dB on average over state-of-the art methods on large scale dataset. We conclude that it is beneficial to incorporate in classification models. On the other hand, we also study how noise affect classification performance. In the end, we come to a number of interesting conclusions, some being counter-intuitive.",On the Relation between Color Image Denoising and Classification,"['Jiqing Wu', 'Radu Timofte', 'Zhiwu Huang', 'Luc Van Gool']",http://arxiv.org/abs/1704.01372v1
ニューラルネットワーク,"Personalized and content-adaptive image enhancement can find many applications in the age of social media and mobile computing. This paper presents a relative-learning-based approach, which, unlike previous methods, does not require matching original and enhanced images for training. This allows the use of massive online photo collections to train a ranking model for improved enhancement. We first propose a multi-level ranking model, which is learned from only relatively-labeled inputs that are automatically crawled. Then we design a novel parameter sampling scheme under this model to generate the desired enhancement parameters for a new image. For evaluation, we first verify the effectiveness and the generalization abilities of our approach, using images that have been enhanced/labeled by experts. Then we carry out subjective tests, which show that users prefer images enhanced by our approach over other existing methods.",Relative Learning from Web Images for Content-adaptive Enhancement,"['Parag S. Chandakkar', 'Qiongjie Tian', 'Baoxin Li']",http://arxiv.org/abs/1704.01250v1
ニューラルネットワーク,"Research on automated image enhancement has gained momentum in recent years, partially due to the need for easy-to-use tools for enhancing pictures captured by ubiquitous cameras on mobile devices. Many of the existing leading methods employ machine-learning-based techniques, by which some enhancement parameters for a given image are found by relating the image to the training images with known enhancement parameters. While knowing the structure of the parameter space can facilitate search for the optimal solution, none of the existing methods has explicitly modeled and learned that structure. This paper presents an end-to-end, novel joint regression and ranking approach to model the interaction between desired enhancement parameters and images to be processed, employing a Gaussian process (GP). GP allows searching for ideal parameters using only the image features. The model naturally leads to a ranking technique for comparing images in the induced feature space. Comparative evaluation using the ground-truth based on the MIT-Adobe FiveK dataset plus subjective tests on an additional data-set were used to demonstrate the effectiveness of the proposed approach.",Joint Regression and Ranking for Image Enhancement,"['Parag S. Chandakkar', 'Baoxin Li']",http://arxiv.org/abs/1704.01235v1
ニューラルネットワーク,"Although deep neural networks (DNNs) have achieved great success in many computer vision tasks, recent studies have shown they are vulnerable to adversarial examples. Such examples, typically generated by adding small but purposeful distortions, can frequently fool DNN models. Previous studies to defend against adversarial examples mostly focused on refining the DNN models. They have either shown limited success or suffer from the expensive computation. We propose a new strategy, \emph{feature squeezing}, that can be used to harden DNN models by detecting adversarial examples. Feature squeezing reduces the search space available to an adversary by coalescing samples that correspond to many different feature vectors in the original space into a single sample. By comparing a DNN model's prediction on the original input with that on the squeezed input, feature squeezing detects adversarial examples with high accuracy and few false positives. This paper explores two instances of feature squeezing: reducing the color bit depth of each pixel and smoothing using a spatial filter. These strategies are straightforward, inexpensive, and complementary to defensive methods that operate on the underlying model, such as adversarial training.",Feature Squeezing: Detecting Adversarial Examples in Deep Neural   Networks,"['Weilin Xu', 'David Evans', 'Yanjun Qi']",http://arxiv.org/abs/1704.01155v1
自然言語処理,"Why do large neural network generalize so well on complex tasks such as image classification or speech recognition? What exactly is the role regularization for them? These are arguably among the most important open questions in machine learning today. In a recent and thought provoking paper [C. Zhang et al.] several authors performed a number of numerical experiments that hint at the need for novel theoretical concepts to account for this phenomenon. The paper stirred quit a lot of excitement among the machine learning community but at the same time it created some confusion as discussions on OpenReview.net testifies. The aim of this pedagogical paper is to make this debate accessible to a wider audience of data scientists without advanced theoretical knowledge in statistical learning. The focus here is on explicit mathematical definitions and on a discussion of relevant concepts, not on proofs for which we provide references.",On Generalization and Regularization in Deep Learning,['Pirmin Lemberger'],http://arxiv.org/abs/1704.01312v1
自然言語処理,"Why do large neural network generalize so well on complex tasks such as image classification or speech recognition? What exactly is the role regularization for them? These are arguably among the most important open questions in machine learning today. In a recent and thought provoking paper [C. Zhang et al.] several authors performed a number of numerical experiments that hint at the need for novel theoretical concepts to account for this phenomenon. The paper stirred quit a lot of excitement among the machine learning community but at the same time it created some confusion as discussions on OpenReview.net testifies. The aim of this pedagogical paper is to make this debate accessible to a wider audience of data scientists without advanced theoretical knowledge in statistical learning. The focus here is on explicit mathematical definitions and on a discussion of relevant concepts, not on proofs for which we provide references.",On Generalization and Regularization in Deep Learning,['Pirmin Lemberger'],http://arxiv.org/abs/1704.01312v1
自然言語処理,"Regarding the analysis of Web communication, social and complex networks the fast finding of most influential nodes in a network graph constitutes an important research problem. We use two indices of the influence of those nodes, namely, PageRank and a Max-linear model. We consider the PageRank %both as %Galton-Watson branching process and as an autoregressive process with a random number of random coefficients that depend on ranks of incoming nodes and their out-degrees and assume that the coefficients are independent and distributed with regularly varying tail and with the same tail index. Then it is proved that the tail index and the extremal index are the same for both PageRank and the Max-linear model and the values of these indices are found. The achievements are based on the study of random sequences of a random length and the comparison of the distribution of their maxima and linear combinations.",Extremes in Random Graphs Models of Complex Networks,['Natalia Markovich'],http://arxiv.org/abs/1704.01302v1
自然言語処理,"Recognizing arbitrary objects in the wild has been a challenging problem due to the limitations of existing classification models and datasets. In this paper, we propose a new task that aims at parsing scenes with a large and open vocabulary, and several evaluation metrics are explored for this problem. Our proposed approach to this problem is a joint image pixel and word concept embeddings framework, where word concepts are connected by semantic relations. We validate the open vocabulary prediction ability of our framework on ADE20K dataset which covers a wide variety of scenes and objects. We further explore the trained joint embedding space to show its interpretability.",Open Vocabulary Scene Parsing,"['Hang Zhao', 'Xavier Puig', 'Bolei Zhou', 'Sanja Fidler', 'Antonio Torralba']",http://arxiv.org/abs/1703.08769v2
自然言語処理,"We present our submitted systems for Semantic Textual Similarity (STS) Track 4 at SemEval-2017. Given a pair of Spanish-English sentences, each system must estimate their semantic similarity by a score between 0 and 5. In our submission, we use syntax-based, dictionary-based, context-based, and MT-based methods. We also combine these methods in unsupervised and supervised way. Our best run ranked 1st on track 4a with a correlation of 83.02% with human annotations.",CompiLIG at SemEval-2017 Task 1: Cross-Language Plagiarism Detection   Methods for Semantic Textual Similarity,"['Jeremy Ferrero', 'Frederic Agnes', 'Laurent Besacier', 'Didier Schwab']",http://arxiv.org/abs/1704.01346v1
自然言語処理,"Computational visual aesthetics has recently become an active research area. Existing state-of-art methods formulate this as a binary classification task where a given image is predicted to be beautiful or not. In many applications such as image retrieval and enhancement, it is more important to rank images based on their aesthetic quality instead of binary-categorizing them. Furthermore, in such applications, it may be possible that all images belong to the same category. Hence determining the aesthetic ranking of the images is more appropriate. To this end, we formulate a novel problem of ranking images with respect to their aesthetic quality. We construct a new dataset of image pairs with relative labels by carefully selecting images from the popular AVA dataset. Unlike in aesthetics classification, there is no single threshold which would determine the ranking order of the images across our entire dataset. We propose a deep neural network based approach that is trained on image pairs by incorporating principles from relative learning. Results show that such relative training procedure allows our network to rank the images with a higher accuracy than a state-of-art network trained on the same set of images using binary labels.",A Computational Approach to Relative Aesthetics,"['Parag S. Chandakkar', 'Vijetha Gattupalli', 'Baoxin Li']",http://arxiv.org/abs/1704.01248v1
マーケティング,By constructing a sampling distribution for DVARS we can create a standardized version of DVARS that should be more similar across scanners and datasets.,Notes on Creating a Standardized Version of DVARS,['Thomas E. Nichols'],http://arxiv.org/abs/1704.01469v1
マーケティング,"Clearly, no one likes webpages with poor quality of experience (QoE). Being perceived as slow or fast is a key element in the overall perceived QoE of web applications. While extensive effort has been put into optimizing web applications (both in industry and academia), not a lot of work exists in characterizing what aspects of webpage loading process truly influence human end-user's perception of the ""Speed"" of a page. In this paper we present ""SpeedPerception"", a large-scale web performance crowdsourcing framework focused on understanding the perceived loading performance of above-the-fold (ATF) webpage content. Our end goal is to create free open-source benchmarking datasets to advance the systematic analysis of how humans perceive webpage loading process. In Phase-1 of our ""SpeedPerception"" study using Internet Retailer Top 500 (IR 500) websites (https://github.com/pahammad/speedperception), we found that commonly used navigation metrics such as ""onLoad"" and ""Time To First Byte (TTFB)"" fail (less than 60% match) to represent majority human perception when comparing the speed of two webpages. We present a simple 3-variable-based machine learning model that explains the majority end-user choices better (with $87 \pm 2\%$ accuracy). In addition, our results suggest that the time needed by end-users to evaluate relative perceived speed of webpage is far less than the time of its ""visualComplete"" event.",Perceived Performance of Webpages In the Wild: Insights from Large-scale   Crowdsourcing of Above-the-Fold QoE,"['Qingzhu Gao', 'Prasenjit Dey', 'Parvez Ahammad']",http://arxiv.org/abs/1704.01220v1
マーケティング,"X-chromosome is often excluded from the so called `whole-genome' association studies due to its intrinsic difference between males and females. One particular analytical challenge is the unknown status of X-inactivation, where one of the two X-chromosome variants in females may be randomly selected to be silenced. In the absence of biological evidence in favour of one specific model, we consider a Bayesian model averaging framework that offers a principled way to account for the inherent model uncertainty, providing BMA-based posterior density intervals and Bayes factors. We examine the inferential properties of the proposed methods via extensive simulations and an association study of meconium ileus, an intestinal disease occurring in about twenty percent of Cystic Fibrosis patients. Compared with results previously reported assuming the presence of X-inactivation, we show that the proposed Bayesian methods provide more feature-rich quantities that are useful in practice.",Bayesian Model Averaging for the X-Chromosome Inactivation Dilemma in   Genetic Association Study,"['Bo Chen', 'Radu', 'V. Craiu', 'Lei Sun']",http://arxiv.org/abs/1704.01207v1
