,プログラム実行日時,論文更新日時,論文リンク,PDFリンク,元論文タイトル,論文タイトル,元サマリ,サマリ,著者,事前付与ジャンル,ニューラルネットワーク,自然言語処理,マーケティング,画像解析,音声解析,強化学習
11,2017-04-07T15:27:53Z,2017-04-04T15:56:55Z,http://arxiv.org/abs/1704.01079v1,http://arxiv.org/pdf/1704.01079v1,Homotopy Parametric Simplex Method for Sparse Learning,homotopi parametr simplex method spars learn,"High dimensional sparse learning has imposed a great computational challenge to large scale data analysis. In this paper, we are interested in a broad class of sparse learning approaches formulated as linear programs parametrized by a {\em regularization factor}, and solve them by the parametric simplex method (PSM). Our parametric simplex method offers significant advantages over other competing methods: (1) PSM naturally obtains the complete solution path for all values of the regularization parameter; (2) PSM provides a high precision dual certificate stopping criterion; (3) PSM yields sparse solutions through very few iterations, and the solution sparsity significantly reduces the computational cost per iteration. Particularly, we demonstrate the superiority of PSM over various sparse learning approaches, including Dantzig selector for sparse linear regression, LAD-Lasso for sparse robust linear regression, CLIME for sparse precision matrix estimation, sparse differential network estimation, and sparse Linear Programming Discriminant (LPD) analysis. We then provide sufficient conditions under which PSM always outputs sparse solutions such that its computational performance can be significantly boosted. Thorough numerical experiments are provided to demonstrate the outstanding performance of the PSM method.",high dimension spars learn impos great comput challeng larg scale data analysi paper interest broad class spars learn approach formul linear program parametr em regular factor solv parametr simplex method psm parametr simplex method offer signific advantag compet method psm natur obtain complet solut path valu regular paramet psm provid high precis dual certif stop criterion psm yield spars solut veri iter solut sparsiti signific reduc comput cost per iter particular demonstr superior psm various spars learn approach includ dantzig selector spars linear regress lad lasso spars robust linear regress clime spars precis matrix estim spars differenti network estim spars linear program discrimin lpd analysi provid suffici condit psm alway output spars solut comput perform signific boost thorough numer experi provid demonstr outstand perform psm method,"['Haotian Pang', 'Tuo Zhao', 'Robert Vanderbei', 'Han Liu']","['cs.LG', 'math.OC', 'stat.ML']",False,False,True,False,False,False
12,2017-04-07T15:28:01Z,2017-04-05T15:02:26Z,http://arxiv.org/abs/1704.01469v1,http://arxiv.org/pdf/1704.01469v1,Notes on Creating a Standardized Version of DVARS,note creat standard version dvar,By constructing a sampling distribution for DVARS we can create a standardized version of DVARS that should be more similar across scanners and datasets.,construct sampl distribut dvar creat standard version dvar similar across scanner dataset,['Thomas E. Nichols'],['stat.AP'],False,False,True,False,False,False
13,2017-04-07T15:28:01Z,2017-04-04T23:47:41Z,http://arxiv.org/abs/1704.01220v1,http://arxiv.org/pdf/1704.01220v1,Perceived Performance of Webpages In the Wild: Insights from Large-scale   Crowdsourcing of Above-the-Fold QoE,perceiv perform webpag wild insight larg scale crowdsourc abov fold qoe,"Clearly, no one likes webpages with poor quality of experience (QoE). Being perceived as slow or fast is a key element in the overall perceived QoE of web applications. While extensive effort has been put into optimizing web applications (both in industry and academia), not a lot of work exists in characterizing what aspects of webpage loading process truly influence human end-user's perception of the ""Speed"" of a page. In this paper we present ""SpeedPerception"", a large-scale web performance crowdsourcing framework focused on understanding the perceived loading performance of above-the-fold (ATF) webpage content. Our end goal is to create free open-source benchmarking datasets to advance the systematic analysis of how humans perceive webpage loading process. In Phase-1 of our ""SpeedPerception"" study using Internet Retailer Top 500 (IR 500) websites (https://github.com/pahammad/speedperception), we found that commonly used navigation metrics such as ""onLoad"" and ""Time To First Byte (TTFB)"" fail (less than 60% match) to represent majority human perception when comparing the speed of two webpages. We present a simple 3-variable-based machine learning model that explains the majority end-user choices better (with $87 \pm 2\%$ accuracy). In addition, our results suggest that the time needed by end-users to evaluate relative perceived speed of webpage is far less than the time of its ""visualComplete"" event.",clear one like webpag poor qualiti experi qoe perceiv slow fast key element overal perceiv qoe web applic extens effort put optim web applic industri academia lot work exist character aspect webpag load process truli influenc human end user percept speed page paper present speedpercept larg scale web perform crowdsourc framework focus understand perceiv load perform abov fold atf webpag content end goal creat free open sourc benchmark dataset advanc systemat analysi human perceiv webpag load process phase speedpercept studi use internet retail top ir websit https github com pahammad speedpercept found common use navig metric onload time first byte ttfb fail less match repres major human percept compar speed two webpag present simpl variabl base machin learn model explain major end user choic better pm accuraci addit result suggest time need end user evalu relat perceiv speed webpag far less time visualcomplet event,"['Qingzhu Gao', 'Prasenjit Dey', 'Parvez Ahammad']","['cs.NI', 'cs.HC', 'stat.AP']",False,False,True,False,False,False
14,2017-04-07T15:28:01Z,2017-04-04T22:34:49Z,http://arxiv.org/abs/1704.01207v1,http://arxiv.org/pdf/1704.01207v1,Bayesian Model Averaging for the X-Chromosome Inactivation Dilemma in   Genetic Association Study,bayesian model averag chromosom inactiv dilemma genet associ studi,"X-chromosome is often excluded from the so called `whole-genome' association studies due to its intrinsic difference between males and females. One particular analytical challenge is the unknown status of X-inactivation, where one of the two X-chromosome variants in females may be randomly selected to be silenced. In the absence of biological evidence in favour of one specific model, we consider a Bayesian model averaging framework that offers a principled way to account for the inherent model uncertainty, providing BMA-based posterior density intervals and Bayes factors. We examine the inferential properties of the proposed methods via extensive simulations and an association study of meconium ileus, an intestinal disease occurring in about twenty percent of Cystic Fibrosis patients. Compared with results previously reported assuming the presence of X-inactivation, we show that the proposed Bayesian methods provide more feature-rich quantities that are useful in practice.",chromosom often exclud call whole genom associ studi due intrins differ male femal one particular analyt challeng unknown status inactiv one two chromosom variant femal may random select silenc absenc biolog evid favour one specif model consid bayesian model averag framework offer principl way account inher model uncertainti provid bma base posterior densiti interv bay factor examin inferenti properti propos method via extens simul associ studi meconium ileus intestin diseas occur twenti percent cystic fibrosi patient compar result previous report assum presenc inactiv show propos bayesian method provid featur rich quantiti use practic,"['Bo Chen', 'Radu', 'V. Craiu', 'Lei Sun']",['stat.AP'],False,False,True,False,False,False
18,2017-04-07T15:28:32Z,2017-04-05T01:11:23Z,http://arxiv.org/abs/1704.01233v1,http://arxiv.org/pdf/1704.01233v1,Smoothing and filtering with a class of outer measures,smooth filter class outer measur,"Filtering and smoothing with a generalised representation of uncertainty is considered. Here, uncertainty is represented using a class of outer measures. It is shown how this representation of uncertainty can be propagated using outer-measure-type versions of Markov kernels and generalised Bayesian-like update equations. This leads to a system of generalised smoothing and filtering equations where integrals are replaced by supremums and probability density functions are replaced by positive functions with supremum equal to one. Interestingly, these equations retain most of the structure found in the classical Bayesian filtering framework. It is additionally shown that the Kalman filter recursion in terms of mean and variance can be recovered from weaker assumptions on the available information on the corresponding hidden Markov model.",filter smooth generalis represent uncertainti consid uncertainti repres use class outer measur shown represent uncertainti propag use outer measur type version markov kernel generalis bayesian like updat equat lead system generalis smooth filter equat integr replac supremum probabl densiti function replac posit function supremum equal one interest equat retain structur found classic bayesian filter framework addit shown kalman filter recurs term mean varianc recov weaker assumpt avail inform correspond hidden markov model,"['Jeremie Houssineau', 'Adrian N. Bishop']","['stat.ME', '60A10, 60J05, 62L12']",False,False,True,False,False,False
19,2017-04-07T15:28:32Z,2017-04-04T21:16:30Z,http://arxiv.org/abs/1704.01190v1,http://arxiv.org/pdf/1704.01190v1,Testing for network interference on experimentation platforms,test network interfer experiment platform,"Modern large IT companies have so called experimentation platforms, which are used carry out a large number of randomized experiments daily. On such platforms, the assumption of no interference among users is not tenable; that is, the fact that the outcome of a user does not depend on the treatment assigned to other users, often referred to as stable unit treatment value assumption (SUTVA). Here, we introduce an experimental design strategy for testing whether this assumption holds. The idea is to compare two different estimates of the total treatment effect obtained through two randomization strategies: complete randomization and cluster-based randomization. We propose a multilevel assignment strategy for obtaining these two estimates simultaneously, and we develop theoretical guarantees for rejecting the null hypothesis that SUTVA holds without the need to specify a model for the interference. We discuss how to apply the proposed design to large experimentation platforms. Finally, we illustrate this design strategy in a live experiment on the LinkedIn experimentation platform.",modern larg compani call experiment platform use carri larg number random experi daili platform assumpt interfer among user tenabl fact outcom user doe depend treatment assign user often refer stabl unit treatment valu assumpt sutva introduc experiment design strategi test whether assumpt hold idea compar two differ estim total treatment effect obtain two random strategi complet random cluster base random propos multilevel assign strategi obtain two estim simultan develop theoret guarante reject null hypothesi sutva hold without need specifi model interfer discuss appli propos design larg experiment platform final illustr design strategi live experi linkedin experiment platform,"['Jean Pouget-Abadie', 'Martin Saveski', 'Guillaume Saint-Jacques', 'Weitao Duan', 'Ya Xu', 'Souvik Ghosh', 'Edoardo Maria Airoldi']",['stat.ME'],False,False,True,False,False,False
22,2017-04-07T15:28:46Z,2017-04-05T14:11:05Z,http://arxiv.org/abs/1704.01437v1,http://arxiv.org/pdf/1704.01437v1,Time-frequency analysis of locally stationary Hawkes processes,time frequenc analysi local stationari hawk process,"Locally stationary Hawkes processes have been introduced in order to generalise classical Hawkes processes away from stationarity by allowing for a time-varying second-order structure. This class of self-exciting point processes has recently attracted a lot of interest in applications in the life sciences (seismology, genomics, neuro-science,...), but also in the modelling of high-frequency financial data. In this contribution we provide a fully developed nonparametric estimation theory of both local mean density and local Bartlett spectra of a locally stationary Hawkes process. In particular we apply our kernel estimation of the spectrum localised both in time and frequency to two data sets of transaction times revealing pertinent features in the data that had not been made visible by classical non-localised approaches based on models with constant fertility functions over time.",local stationari hawk process introduc order generalis classic hawk process away stationar allow time vari second order structur class self excit point process recent attract lot interest applic life scienc seismolog genom neuro scienc also model high frequenc financi data contribut provid fulli develop nonparametr estim theori local mean densiti local bartlett spectra local stationari hawk process particular appli kernel estim spectrum localis time frequenc two data set transact time reveal pertin featur data made visibl classic non localis approach base model constant fertil function time,"['François Roueff', 'Rainer Von Sachs']","['math.ST', 'stat.TH']",False,False,True,False,False,False
25,2017-04-07T15:28:46Z,2017-04-04T20:14:00Z,http://arxiv.org/abs/1704.01171v1,http://arxiv.org/pdf/1704.01171v1,Rethinking probabilistic prediction in the wake of the 2016 U.S.   presidential election,rethink probabilist predict wake presidenti elect,"To many statisticians and citizens, the outcome of the most recent U.S. presidential election represents a failure of data-driven methods on the grandest scale. This impression has led to much debate and discussion about how the election predictions went awry -- Were the polls inaccurate? Were the models wrong? Did we misinterpret the probabilities? -- and how they went right -- Perhaps the analyses were correct even though the predictions were wrong, that's just the nature of probabilistic forecasting. With this in mind, we analyze the election outcome with respect to a core set of effectiveness principles. Regardless of whether and how the election predictions were right or wrong, we argue that they were ineffective in conveying the extent to which the data was informative of the outcome and the level of uncertainty in making these assessments. Among other things, our analysis sheds light on the shortcomings of the classical interpretations of probability and its communication to consumers in the form of predictions. We present here an alternative approach, based on a notion of validity, which offers two immediate insights for predictive inference. First, the predictions are more conservative, arguably more realistic, and come with certain guarantees on the probability of an erroneous prediction. Second, our approach easily and naturally reflects the (possibly substantial) uncertainty about the model by outputting plausibilities instead of probabilities. Had these simple steps been taken by the popular prediction outlets, the election outcome may not have been so shocking.",mani statistician citizen outcom recent presidenti elect repres failur data driven method grandest scale impress led much debat discuss elect predict went awri poll inaccur model wrong misinterpret probabl went right perhap analys correct even though predict wrong natur probabilist forecast mind analyz elect outcom respect core set effect principl regardless whether elect predict right wrong argu ineffect convey extent data inform outcom level uncertainti make assess among thing analysi shed light shortcom classic interpret probabl communic consum form predict present altern approach base notion valid offer two immedi insight predict infer first predict conserv arguabl realist come certain guarante probabl erron predict second approach easili natur reflect possibl substanti uncertainti model output plausibl instead probabl simpl step taken popular predict outlet elect outcom may shock,"['Harry Crane', 'Ryan Martin']","['stat.OT', 'math.ST', 'stat.TH']",False,False,True,False,False,False
27,2017-04-07T15:29:00Z,2017-04-05T13:26:50Z,http://arxiv.org/abs/1704.01407v1,http://arxiv.org/pdf/1704.01407v1,Embodied Artificial Intelligence through Distributed Adaptive Control:   An Integrated Framework,embodi artifici intellig distribut adapt control integr framework,"In this paper, we argue that the future of Artificial Intelligence research resides in two keywords: integration and embodiment. We support this claim by analyzing the recent advances of the field. Regarding integration, we note that the most impactful recent contributions have been made possible through the integration of recent Machine Learning methods (based in particular on Deep Learning and Recurrent Neural Networks) with more traditional ones (e.g. Monte-Carlo tree search, goal babbling exploration or addressable memory systems). Regarding embodiment, we note that the traditional benchmark tasks (e.g. visual classification or board games) are becoming obsolete as state-of-the-art learning algorithms approach or even surpass human performance in most of them, having recently encouraged the development of first-person 3D game platforms embedding realistic physics. Building upon this analysis, we first propose an embodied cognitive architecture integrating heterogenous sub-fields of Artificial Intelligence into a unified framework. We demonstrate the utility of our approach by showing how major contributions of the field can be expressed within the proposed framework. We then claim that benchmarking environments need to reproduce ecologically-valid conditions for bootstrapping the acquisition of increasingly complex cognitive skills through the concept of a cognitive arms race between embodied agents.",paper argu futur artifici intellig research resid two keyword integr embodi support claim analyz recent advanc field regard integr note impact recent contribut made possibl integr recent machin learn method base particular deep learn recurr neural network tradit one mont carlo tree search goal babbl explor address memori system regard embodi note tradit benchmark task visual classif board game becom obsolet state art learn algorithm approach even surpass human perform recent encourag develop first person game platform embed realist physic build upon analysi first propos embodi cognit architectur integr heterogen sub field artifici intellig unifi framework demonstr util approach show major contribut field express within propos framework claim benchmark environ need reproduc ecolog valid condit bootstrap acquisit increas complex cognit skill concept cognit arm race embodi agent,"['Clément Moulin-Frier', 'Jordi-Ysard Puigbò', 'Xerxes D. Arsiwalla', 'Martì Sanchez-Fibla', 'Paul F. M. J. Verschure']","['cs.AI', 'cs.LG', 'cs.MA']",False,False,True,False,False,False
37,2017-04-07T15:29:23Z,2017-04-05T13:23:09Z,http://arxiv.org/abs/1704.01405v1,http://arxiv.org/pdf/1704.01405v1,Polynomial running times for polynomial-time oracle machines,polynomi run time polynomi time oracl machin,"This paper introduces a more restrictive notion of feasibility of functionals on Baire space than the established one from second-order complexity theory. Thereby making it possible to consider functions on the natural numbers as running times of oracle Turing machines and avoiding second-order polynomials, which are notoriously difficult to handle. Furthermore, all machines that witness this stronger kind of feasibility can be clocked and the different traditions of treating partial operators from computable analysis and second-order complexity theory are equated in a precise sense. The new notion is named ""strong polynomial-time computability"", and proven to be a strictly stronger requirement than polynomial-time computability. It is proven that within the framework for complexity of operators from analysis introduced by Kawamura and Cook the classes of strongly polynomial-time computable operators and polynomial-time computable operators coincide.",paper introduc restrict notion feasibl function bair space establish one second order complex theori therebi make possibl consid function natur number run time oracl ture machin avoid second order polynomi notori difficult handl furthermor machin wit stronger kind feasibl clock differ tradit treat partial oper comput analysi second order complex theori equat precis sens new notion name strong polynomi time comput proven strict stronger requir polynomi time comput proven within framework complex oper analysi introduc kawamura cook class strong polynomi time comput oper polynomi time comput oper coincid,"['Akitoshi Kawamura', 'Florian Steinberg']",['cs.CC'],False,False,True,False,False,False
