,プログラム実行日時,論文更新日時,論文リンク,PDFリンク,論文タイトル,サマリ,著者,事前付与ジャンル,ニューラルネットワーク,自然言語処理,マーケティング,画像解析,音声解析,強化学習
0,2017-03-06T12:10:19Z,2017-03-03T18:15:32Z,http://arxiv.org/abs/1703.01274v1,http://arxiv.org/pdf/1703.01274v1,actor critic reinforc learn with simultan human control and feedback,this paper contribut a first studi into how differ human user deliv simultan control and feedback signal dure human robot interact as part of this work we formal and present a general interact learn framework for onlin cooper between human and reinforc learn agent in mani human machin interact set there is a grow gap between the degre of freedom of complex semi autonom system and the number of human control channel simpl human control and feedback mechan are requir to close this gap and allow for better collabor between human and machin on complex task to better inform the design of concurr control and feedback interfac we present experiment result from a human robot collabor domain wherein the human must simultan deliv both control and feedback signal to interact train an actor critic reinforc learn robot we compar three experiment condit 1 human deliv control signal 2 reward shape feedback signal and 3 simultan control and feedback our result suggest that subject provid less feedback when simultan deliv feedback and control signal and that control signal qualiti is not signific diminish our data suggest that subject may also modifi when and how they provid feedback through algorithm develop and tune inform by this studi we expect semi autonom action of robot agent can be better shape by human feedback allow for seamless collabor and improv perform in difficult interact domain,Kory W. Mathewson|Patrick M. Pilarski,cs.AI|cs.HC|cs.RO,0,0,0,0,0,1
1,2017-03-06T12:10:19Z,2017-03-03T15:27:38Z,http://arxiv.org/abs/1703.01203v1,http://arxiv.org/pdf/1703.01203v1,stochast separ theorem,a set s is linear separ if each x in s can be separ from the rest of s by a linear function we studi random n element set in mathbb r n for larg n and demonstr that for n a exp b n they are linear separ with probabl p p 1 vartheta for a given small vartheta 0 constant a b 0 depend on the probabl distribut and the constant vartheta the result are import for machin learn in high dimens especi for correct of unavoid mistak of legaci artifici intellig system,A. N. Gorban|I. Y. Tyukin,cs.LG|cs.AI|68T10|I.2.6,0,0,0,0,0,0
2,2017-03-06T12:10:19Z,2017-03-03T14:05:11Z,http://arxiv.org/abs/1703.01161v1,http://arxiv.org/pdf/1703.01161v1,feudal network for hierarch reinforc learn,we introduc feudal network fun a novel architectur for hierarch reinforc learn our approach is inspir by the feudal reinforc learn propos of dayan and hinton and gain power and efficaci by decoupl end to end learn across multipl level allow it to utilis differ resolut of time our framework employ a manag modul and a worker modul the manag oper at a lower tempor resolut and set abstract goal which are convey to and enact by the worker the worker generat primit action at everi tick of the environ the decoupl structur of fun convey sever benefit in addit to facilit veri long timescal credit assign it also encourag the emerg of sub polici associ with differ goal set by the manag these properti allow fun to dramat outperform a strong baselin agent on task that involv long term credit assign or memoris we demonstr the perform of our propos system on a rang of task from the atari suit and also from a 3d deepmind lab environ,Alexander Sasha Vezhnevets|Simon Osindero|Tom Schaul|Nicolas Heess|Max Jaderberg|David Silver|Koray Kavukcuoglu,cs.AI,1,0,0,0,0,1
3,2017-03-06T12:10:19Z,2017-03-03T12:23:13Z,http://arxiv.org/abs/1703.01127v1,http://arxiv.org/pdf/1703.01127v1,on the behavior of convolut net for featur extract,convolut neural network cnn are represent learn techniqu that achiev state of the art perform on almost everi imag relat machin learn task appli the represent languag build by these model to task beyond the one they were origin train for is a field of interest known as transfer learn for featur extract through this approach one can appli the imag descriptor learnt by a cnn after process million of imag to ani dataset without an expens train phase contribut to this field have so far focus on extract cnn featur from layer close to the output e g fulli connect layer particular becaus they work better when use out of the box to feed a classifi nevertheless the rest of cnn featur is known to encod a wide varieti of visual inform which could be potenti exploit on knowledg represent and reason task in this paper we analyz the behavior of each featur individu explor their intra inter class activ for all class of three differ dataset from this studi we learn that low and middl level featur behav veri differ to high level featur the former be more descript and the latter be more discrimin we show how low and middl level featur can be use for knowledg represent purpos both by their presenc or by their absenc we also studi how much nois these featur may encod and propos a threshold approach to discard most of it final we discuss the potenti implic of these result in the context of knowledg represent use featur extract from a cnn,Dario Garcia-Gasulla|Ferran Parés|Armand Vilalta|Jonatan Moreno|Eduard Ayguadé|Jesús Labarta|Ulises Cortés|Toyotaro Suzumura,cs.NE|cs.AI|cs.LG|stat.ML,1,1,0,1,0,0
4,2017-03-06T12:10:19Z,2017-03-03T09:03:46Z,http://arxiv.org/abs/1703.01083v1,http://arxiv.org/pdf/1703.01083v1,sequenti plan recognit,plan recognit algorithm infer agent plan from their observ action due to imperfect knowledg about the agent s behavior and the environ it is often the case that there are multipl hypothes about an agent s plan that are consist with the observ though onli one of these hypothes is correct this paper address the problem of how to disambigu between hypothes by queri the act agent about whether a candid plan in one of the hypothes match it intent this process is perform sequenti and use to updat the set of possibl hypothes dure the recognit process the paper defin the sequenti plan recognit process sprp which seek to reduc the number of hypothes use a minim number of queri we propos a number of polici for the sprp which use maximum likelihood and inform gain to choos which plan to queri we show this approach work well in practic on two domain from the literatur signific reduc the number of hypothes use fewer queri than a baselin approach our result can inform the design of futur plan recognit system that interleav the recognit process with intellig intervent of their user,Reuth Mirsky|Roni Stern|Ya'akov|Gal|Meir Kalech,cs.AI,0,0,0,0,0,0
5,2017-03-06T12:10:19Z,2017-03-03T05:41:30Z,http://arxiv.org/abs/1703.01041v1,http://arxiv.org/pdf/1703.01041v1,larg scale evolut of imag classifi,neural network have proven effect at solv difficult problem but design their architectur can be challeng even for imag classif problem alon evolutionari algorithm provid a techniqu to discov such network automat despit signific comput requir we show that evolv model that rival larg hand design architectur is possibl today we employ simpl evolutionari techniqu at unpreced scale to discov model for the cifar 10 and cifar 100 dataset start from trivial initi condit to do this we use novel and intuit mutat oper that navig larg search space we stress that no human particip is requir onc evolut start and that the output is a fulli train model throughout this work we place special emphasi on the repeat of result the variabl in the outcom and the comput requir,Esteban Real|Sherry Moore|Andrew Selle|Saurabh Saxena|Yutaka Leon Suematsu|Quoc Le|Alex Kurakin,cs.NE|cs.AI|cs.CV|cs.DC|I.2.6; I.5.1; I.5.2,1,0,0,1,0,0
6,2017-03-06T12:10:19Z,2017-03-03T05:27:50Z,http://arxiv.org/abs/1703.01040v1,http://arxiv.org/pdf/1703.01040v1,learn robot activ from first person human video use convolut futur regress,we design a new approach that allow robot learn of new activ from unlabel human exampl video given video of human execut the same activ from a human s viewpoint i e first person video our object is to make the robot learn the tempor structur of the activ as it futur regress network and learn to transfer such model for it own motor execut we present a new deep learn model we extend the state of the art convolut object detect network for the detect of human hand in train video base on imag inform and newli introduc the concept of use a fulli convolut network to regress i e predict the intermedi scene represent correspond to the futur frame e g 1 2 second later combin these allow direct predict of futur locat of human hand and object which enabl the robot to infer the motor control plan use our manipul network we experiment confirm that our approach make learn of robot activ from unlabel human interact video possibl and demonstr that our robot is abl to execut the learn collabor activ in real time direct base on it camera input,Jangwon Lee|Michael S. Ryoo,cs.RO|cs.AI|cs.CV|cs.LG,1,0,0,1,0,0
7,2017-03-06T12:10:19Z,2017-03-03T03:24:03Z,http://arxiv.org/abs/1703.01026v1,http://arxiv.org/pdf/1703.01026v1,unsupervis basi function adapt for reinforc learn,when use reinforc learn rl algorithm to evalu a polici it is common given a larg state space to introduc some form of approxim architectur for the valu function vf the exact form of this architectur can have a signific effect on the accuraci of the vf estim howev and determin a suitabl approxim architectur can often be a high complex task consequ there is a larg amount of interest in the potenti for allow rl algorithm to adapt generat approxim architectur we investig a method of adapt approxim architectur which use feedback regard the frequenc with which an agent has visit certain state to guid which area of the state space to approxim with greater detail this method is unsupervis in the sens that it make no direct refer to reward or the vf estim we introduc an algorithm base upon this idea which adapt a state aggreg approxim architectur on line a common method of score a vf estim is to weight the squar bellman error of each state action by the probabl of that state action occur adopt this score method and assum s state we demonstr theoret that provid 1 the number of cell x in the state aggreg architectur is of order sqrt s log 2 s ln s or greater 2 the polici and transit function are close to determinist and 3 the prior for the transit function is uniform distribut our algorithm use in conjunct with a suitabl rl algorithm can guarante a score which is arbitrarili close to zero as s becom larg it is abl to do this despit have onli o x log 2s space complex and neglig time complex the result take advantag of certain properti of the stationari distribut of markov chain,Edward W. Barker|Charl J. Ras,cs.AI|cs.LG|stat.ML,0,0,0,0,0,1
8,2017-03-06T12:10:19Z,2017-03-03T01:29:11Z,http://arxiv.org/abs/1703.01008v1,http://arxiv.org/pdf/1703.01008v1,end to end task complet neural dialogu system,this paper present an end to end learn framework for task complet neural dialogu system which leverag supervis and reinforc learn with various deep learn model the system is abl to interfac with a structur databas and interact with user for assist them to access inform and complet task such as book movi ticket our experi in a movi ticket book domain show the propos system outperform a modular base dialogu system and is more robust to nois produc by other compon in the system,Xuijun Li|Yun-Nung Chen|Lihong Li|Jianfeng Gao,cs.CL|cs.AI,1,0,0,0,0,1
9,2017-03-06T12:10:19Z,2017-03-02T21:31:29Z,http://arxiv.org/abs/1703.00956v1,http://arxiv.org/pdf/1703.00956v1,a laplacian framework for option discoveri in reinforc learn,represent learn and option discoveri are two of the biggest challeng in reinforc learn rl proto rl is a well known approach for represent learn in mdps the represent learn with this framework are call proto valu function pvfs in this paper we address the option discoveri problem by show how pvfs implicit defin option we do it by introduc eigenpurpos intrins reward function deriv from the learn represent the option discov from eigenpurpos travers the princip direct of the state space they are use for multipl task becaus they are independ of the agent intent moreov by captur the diffus process of a random walk differ option act at differ time scale make them help for explor strategi we demonstr featur of eigenpurpos in tradit tabular domain as well as in atari 2600 game,Marlos C. Machado|Marc G. Bellemare|Michael Bowling,cs.LG|cs.AI,0,0,0,0,0,1
